doy,year,hod,PPFD,VPD,Patm,gb,Tref,Ps,Tair,CO2,u,ratiocrit,O2,Vmax25,gamstar25,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,LAI,max_leaf_width,g1,P50,P88,kmax,sref,fc,Tp,gmin_20,gmin_Tp,Tcrit,T50
[-],[-],[h],[umol m-2 s-1],[kPa],[kPa],[mol m-2 s-1],[deg C],[MPa],[deg C],[Pa],[m s-1],[-],[kPa],[umol m-2 s-1],[Pa],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m2 m-2],[m],[kPa0.5],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[MPa-1],[m3 m-3],[deg C],[mol m-2 s-1],[mol m-2 s-1],[deg C],[deg C]
306,2022,12.07694444,1173,3.10358225,100.2925,2.92139875,29.225,-1.169,24.23,45.532795,0,0.05,20.8,117,4.22,1.42,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.15,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,1.36,0.0107,5.34,4.9,6.41,1.3,1.82,0.34784,40,0.0014,0.014,49.432,50.788
311,2022,12.264375,310,2.55984725,101.8575,2.9213815,35.6225,-0.403,39.92,45.5303025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.22104167,1049.25,3.7484835,101.765,2.92187175,35.355,-0.727,36.55,51.594855,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.645,604,1.97385175,100.265,2.9206585,28.55,-0.524,24.8,49.33038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.66458333,702.75,2.870252,101.93,2.92162,35.7325,-0.232,39.22,56.36729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.61069444,672.5,3.0529105,101.795,2.92148125,34.38,-0.546,36.09,48.556215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.79131944,722,2.31937375,100.275,2.92134725,29.405,-0.586,24.94,49.435575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.80805556,986,3.540786,101.9175,2.92219425,36.2375,-0.838,40.09,53.9143575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.74777778,1383.5,3.778788,101.8025,2.92178675,34.6325,-0.655,36.58,45.5057175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.32652778,1111.75,2.34838125,100.2775,2.92066525,25.8475,-0.875,24.81,48.8351425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.38888889,1242.75,4.27305225,101.9375,2.9219075,33.6825,-0.498,35.53,52.192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.34291667,1883,3.75990625,101.8125,2.921603,32.4775,-1.17,34.13,52.128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.69986111,698.75,2.53781725,100.3425,2.92083225,31.615,-0.43,30.01,44.351385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.68261111,918.8,3.9756896,101.84,2.9218572,37.766,-0.451,40.02,51.9384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.61972222,1574.25,4.016118,101.7175,2.9221115,37.865,-0.67,36.75,48.1123775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
