doy,hod,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(Treg),gmin(TpDep),gmin(std),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps(Treg),Ps(TpDep),Ps(std),Ps(std2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
20,8.8,14.382399549013163,11.526262993944323,14.403978035048564,14.45454267144749,2.512887237292311,0.6844367831907953,2.415961818139369,2.5813003206701435,0.4161375,0.1,0.3970350565854735,0.42933687483451954,4.64,4.64,4.64,4.64,,,,0.0013637586871292236,33.404809993799724,20.728299910122104,33.13285424005813,33.5442803479687,18.561724932412965,18.86827438817659,18.57710168395988,18.550938327325674,-2.0634403117565343,-1.500905345199088,-2.0634403117565343,-2.103621380796352,False,False,False,False,-1.3,-1.3,-1.3,-1.3
20,8.9,14.394040542929048,11.542110506506999,14.413779538184485,14.464505622909353,2.5211983850741975,0.6865696696794712,2.4184508150342254,2.584525680315296,0.41622249999999994,0.1,0.39605851543112913,0.4283788628227107,4.64,4.64,4.64,4.64,,,,0.001363622440540975,33.466269380407965,20.767888532642687,33.1796183833983,33.593513331899935,18.555492755285737,18.86298483654303,18.571790544399843,18.545509745992252,-2.0634403117565343,-1.500905345199088,-2.0634403117565343,-2.103621380796352,False,False,False,False,-1.3,-1.3,-1.3,-1.3
20,9.083333332999999,14.366820909176038,11.486917036920241,14.29333807988526,14.371848080077921,3.3217783867438233,0.9489646955863195,2.890546092034136,3.1360996204744547,0.39492999999999995,0.1,0.33568850309785997,0.3689745890639779,4.64,4.64,4.64,4.64,,,,0.0013921647165202988,33.415426668533016,21.088914351292747,32.43728688411819,33.008667967131025,19.66201610048238,20.047657192984342,19.72873792439734,19.690560848268852,-2.4316424684020914,-1.6777498953390246,-2.312606798971081,-2.391963911925088,False,False,False,False,-1.4,-1.4,-1.4,-1.4
20,9.15,14.38408993421771,11.481687648505329,14.348363058279709,14.414759809664309,3.0229649563795755,0.8432441383982879,2.7235652617691732,2.935893335827792,0.405385,0.1,0.3586118345071944,0.39145436519637034,4.64,4.64,4.64,4.64,,,,0.001377765551036768,33.2086794636424,20.749582516880917,32.49393955686723,32.995907124013776,19.103543299501805,19.461622125540938,19.150261091902976,19.117048999647384,-2.3522853554480845,-1.6777498953390246,-2.233249686017074,-2.312606798971081,False,False,False,False,-1.4,-1.4,-1.4,-1.4
20,9.316666667,14.143852490988806,11.215958592734827,14.057425288441344,14.16313970243038,3.6161392268526544,1.117491258935347,3.1677112023442837,3.469158078146768,0.3624175,0.1,0.3106498881786957,0.34507497781487717,4.64,4.64,4.64,4.64,,,,0.0014399761892610059,32.795934152424024,21.31747901781758,31.81421811426172,32.47654493760981,21.524710475742808,21.925888264209913,21.59325823253635,21.547009562831406,-2.339140284873687,-1.5254686528210533,-2.1764059584631603,-2.298456703271055,False,False,False,False,-1.2,-1.2,-1.2,-1.2
20,9.4,14.06262551420537,11.141716573245056,13.986351149408131,14.095670836254456,3.572732000792564,1.123497308824068,3.165332478544013,3.469474904342252,0.355575,0.1,0.3088205433698926,0.34340612180464747,4.64,4.64,4.64,4.64,,,,0.0014506295323471823,32.674146244253535,21.395409831141528,31.768749509738182,32.43651568746315,21.935619355144134,22.328848372456772,21.997860206306807,21.95127231957196,-2.298456703271055,-1.5254686528210533,-2.1764059584631603,-2.298456703271055,False,False,False,False,-1.2,-1.2,-1.2,-1.2
20,10.86666667,18.074363838593403,11.729314344013043,19.219695615152833,19.842868054121617,6.124756889724499,2.459851078672408,7.163567643175048,8.237018790195123,0.27571749999999995,0.1,0.32855476619606777,0.3886385366809592,4.64,4.64,4.64,4.64,,,,0.0016078267986981644,28.40420648480373,20.397158094310075,29.461102854456474,30.621506965553966,27.86205546372496,28.511633811517008,27.689615316439525,27.5156789578382,-3.30905345199088,-2.0634403117565343,-3.710864142389056,-4.152855901827049,True,True,False,False,-1.3,-1.3,-1.3,-1.3
20,10.98333333,18.28580293348016,11.794257486325288,19.56901338207176,20.13336978815847,5.235158349666337,2.056185521511188,6.176867611385903,7.0907032148688005,0.28383499999999995,0.1,0.3476641484188234,0.4105056461100879,4.64,4.64,4.64,4.64,,,,0.001595969014049566,28.41651947621599,20.13278990655047,29.658151940203016,30.787639059961208,27.560250423532146,28.14340130060406,27.39695381222791,27.24383339953862,-2.987604899672339,-1.9428971046370815,-3.30905345199088,-3.670683073349238,True,True,False,False,-1.3,-1.3,-1.3,-1.3
20,11.15,17.371791971088452,11.420957353804768,18.767024926905556,19.380716231468185,5.4730291463397185,2.295121448975255,6.735778635416844,7.720071698171114,0.2635624999999999,0.1,0.3331310582435215,0.3929352309868586,4.64,4.64,4.64,4.64,,,,0.0016320852929273422,28.264510889002835,20.78635408466255,29.705728815722242,30.799205047954334,28.704713695394286,29.279488683243578,28.491316596209234,28.329680486590384,-3.185535041465158,-2.1142140165860632,-3.6616777191892007,-4.058463283959236,True,True,False,False,-1.4,-1.4,-1.4,-1.4
