site_spp,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,14.382399549013163,11.526262993944323,14.403978035048564,14.45454267144749,2.512887237292311,0.6844367831907953,2.4159618181393694,2.5813003206701435,0.4161375,0.1,0.3970350565854735,0.4293368748345195,4.64,4.64,4.64,4.64,0.0013637586871292234,33.404809993799724,20.728299910122107,33.13285424005813,33.544280347968694,18.561724932412965,18.868274388176587,18.57710168395988,18.550938327325674,-2.0634403117565343,-1.5009053451990881,-2.0634403117565343,-2.1036213807963517,False,False,False,False,-1.3,499.75,18.4625,0.64825,100.7,39.29206181,20,8.8,14.3,2.31,32.3733375,0.38075,4.64,-1.9,19.625
Richmond_Eucalyptus_cladocalyx,14.394040542929046,11.542110506507,14.413779538184485,14.46450562290935,2.521198385074197,0.6865696696794712,2.418450815034225,2.584525680315296,0.4162225,0.1,0.3960585154311291,0.4283788628227107,4.64,4.64,4.64,4.64,0.001363622440540975,33.466269380407965,20.767888532642687,33.1796183833983,33.59351333189993,18.555492755285734,18.86298483654303,18.571790544399843,18.545509745992245,-2.0634403117565343,-1.5009053451990881,-2.0634403117565343,-2.1036213807963517,False,False,False,False,-1.3,500.0,18.4575,0.6505,100.7,39.35716313,20,8.9,14.325,2.31,32.44933125,0.37925,4.64,-2.0,19.8625
Richmond_Eucalyptus_cladocalyx,14.366820909176038,11.48691703692024,14.293338079885258,14.37184808007792,3.3217783867438238,0.9489646955863196,2.890546092034136,3.1360996204744547,0.39493,0.1,0.33568850309786,0.3689745890639779,4.64,4.64,4.64,4.64,0.0013921647165202988,33.415426668533016,21.088914351292747,32.43728688411819,33.008667967131025,19.66201610048238,20.047657192984342,19.72873792439734,19.69056084826885,-2.4316424684020914,-1.6777498953390246,-2.312606798971081,-2.391963911925088,False,False,False,False,-1.4,500.0,19.71,0.9265,100.7,39.58945069,20,9.08333333333333,9.275,1.12,26.52181875,0.1225,4.64,-2.5,21.675
Richmond_Eucalyptus_cladocalyx,14.38408993421771,11.481687648505329,14.348363058279707,14.414759809664307,3.0229649563795755,0.8432441383982879,2.723565261769173,2.9358933358277923,0.405385,0.1,0.3586118345071944,0.3914543651963704,4.64,4.64,4.64,4.64,0.001377765551036768,33.2086794636424,20.749582516880924,32.49393955686723,32.99590712401377,19.103543299501805,19.461622125540934,19.150261091902976,19.117048999647388,-2.3522853554480845,-1.6777498953390246,-2.233249686017074,-2.312606798971081,False,False,False,False,-1.4,501.75,19.095,0.81525,100.7,39.24165263,20,9.15,15.075,2.075,29.080275,0.26525,4.64,-2.5,21.005
Richmond_Eucalyptus_cladocalyx,14.143852490988806,11.215958592734829,14.057425288441346,14.163139702430382,3.6161392268526544,1.117491258935347,3.167711202344284,3.4691580781467684,0.3624175,0.1,0.3106498881786957,0.3450749778148772,4.64,4.64,4.64,4.64,0.001439976189261006,32.795934152424024,21.31747901781758,31.814218114261717,32.47654493760981,21.524710475742808,21.925888264209913,21.59325823253635,21.547009562831406,-2.339140284873687,-1.5254686528210533,-2.1764059584631603,-2.298456703271055,False,False,False,False,-1.2,500.25,21.6225,1.1,100.7,39.38198775,20,9.31666666666667,12.925,3.4025,31.94270625,0.32625,4.64,-2.6,23.29
Richmond_Eucalyptus_cladocalyx,14.06262551420537,11.141716573245056,13.986351149408133,14.095670836254456,3.572732000792564,1.1234973088240678,3.165332478544013,3.469474904342252,0.355575,0.1,0.3088205433698926,0.3434061218046475,4.64,4.64,4.64,4.64,0.0014506295323471823,32.67414624425353,21.395409831141528,31.768749509738182,32.43651568746315,21.935619355144134,22.328848372456765,21.99786020630681,21.951272319571963,-2.298456703271055,-1.5254686528210533,-2.1764059584631603,-2.298456703271055,False,False,False,False,-1.2,499.5,22.025,1.105,100.7,39.340444500000004,20,9.4,12.65,3.8825,32.8293,0.37325,4.64,-2.5,23.485
Richmond_Eucalyptus_cladocalyx,18.074363838593406,11.729314344013044,19.219695615152837,19.842868054121613,6.124756889724499,2.459851078672408,7.163567643175048,8.237018790195123,0.27571749999999995,0.1,0.32855476619606777,0.3886385366809592,4.64,4.64,4.64,4.64,0.0016078267986981644,28.40420648480373,20.397158094310075,29.461102854456477,30.62150696555397,27.86205546372496,28.511633811517008,27.689615316439525,27.5156789578382,-3.30905345199088,-2.0634403117565343,-3.710864142389056,-4.152855901827048,True,True,False,False,-1.3,1801.5,26.7225,2.1275,100.6,39.28547569,20,10.8666666666667,14.225,3.47,23.7607125,0.16399999999999998,4.64,-2.95,31.0
Richmond_Eucalyptus_cladocalyx,18.28580293348016,11.794257486325288,19.569013382071763,20.13336978815847,5.235158349666337,2.056185521511188,6.1768676113859025,7.0907032148688005,0.28383499999999995,0.1,0.3476641484188234,0.4105056461100879,4.64,4.64,4.64,4.64,0.001595969014049566,28.41651947621599,20.13278990655047,29.658151940203012,30.787639059961208,27.560250423532143,28.143401300604058,27.396953812227913,27.243833399538623,-2.987604899672339,-1.942897104637081,-3.30905345199088,-3.670683073349238,True,True,False,False,-1.3,1801.25,26.245,1.6975,100.6,39.12538219,20,10.983333333333302,16.45,4.355,27.6110625,0.264,4.64,-3.05,29.7725
Richmond_Eucalyptus_cladocalyx,17.371791971088452,11.420957353804766,18.76702492690556,19.380716231468185,5.473029146339719,2.2951214489752547,6.735778635416844,7.720071698171114,0.2635624999999999,0.1,0.3331310582435215,0.3929352309868586,4.64,4.64,4.64,4.64,0.0016320852929273422,28.26451088900284,20.786354084662552,29.705728815722235,30.79920504795433,28.704713695394286,29.279488683243574,28.491316596209234,28.329680486590384,-3.1855350414651586,-2.1142140165860632,-3.6616777191892007,-4.058463283959236,True,True,False,False,-1.4,1799.75,27.4375,1.93,100.6,39.18111094,20,11.15,17.125,4.6325,26.2938375,0.245,4.64,-3.25,31.1225
Richmond_Eucalyptus_cladocalyx,17.22286399471167,11.349456223973926,18.45627472705044,19.148100458661553,5.940192592249982,2.5164406697904647,7.020212934384522,8.127905606981525,0.260035,0.1,0.31372983206923555,0.3740057855488332,4.64,4.64,4.64,4.64,0.001635481097568157,28.1683251228094,20.851848017410067,29.271652393874877,30.461127282636546,28.81897714007116,29.427294320713788,28.63891924126457,28.459033736443946,-3.3442492673731725,-2.1935711295400706,-3.780713388620212,-4.256856066344254,True,True,False,False,-1.4,1800.25,27.645,2.1675,100.6,39.13146169,20,11.233333333333302,16.975,4.265,23.68471875,0.199,4.64,-3.55,32.05
