doy,hod,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(Treg),gmin(TpDep),gmin(std),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps(Treg),Ps(TpDep),Ps(std),Ps(std2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
20,8.016666667,15.420103555423536,12.411016152740057,15.028762792308227,15.146887361001157,3.490095005310955,0.8539742185721569,2.1146518043207143,2.3493454830685145,0.46717999999999993,0.1,0.26334172404852907,0.29608318740418227,4.64,4.64,4.64,4.64,,,,0.0012911441118089665,34.128792367855056,19.819635049860892,30.338270998094465,31.26897193954034,15.372381894260002,15.803370625121524,15.591031975740414,15.552761708686788,-1.8561471448433515,-1.1765367862108378,-1.4936882869060109,-1.5389956441481785,False,False,False,False,-0.95,-0.95,-0.95,-0.95
20,8.1,15.409402466198483,12.407531214479569,15.033555065293312,15.14665658471774,3.4023182787293207,0.8276977986229684,2.0770406826805665,2.302969963686757,0.4701125,0.1,0.26717324649760105,0.29975757100638406,4.64,4.64,4.64,4.64,,,,0.0012873305258096705,34.12396665771433,19.776853518759808,30.42153421678047,31.325546534001713,15.215779173294324,15.637742033898753,15.426907728801432,15.39000336537055,-1.810839787601184,-1.1765367862108378,-1.4936882869060109,-1.5389956441481785,False,False,False,False,-0.95,-0.95,-0.95,-0.95
20,8.266666667,15.417736380657562,12.327829658982932,15.134998700027651,15.231495943929625,3.1263511554383956,0.7755712276813327,2.127587272013413,2.336722282878978,0.46037999999999996,0.1,0.29538157021969996,0.3283313607829858,4.64,4.64,4.64,4.64,,,,0.0013009583221532234,33.718668931984965,19.62629665228122,30.923794491256547,31.686677602724554,15.841421156166062,16.228992226129986,16.000632390701476,15.966627172332165,-1.628767786684688,-1.0332394792199266,-1.3997184376597798,-1.4455283074647614,False,False,False,False,-0.85,-0.85,-0.85,-0.85
20,8.366666667,15.387934002595197,12.354244563869983,15.118611710591582,15.208990900870466,3.0441387714874457,0.7465295760879086,2.070818043983065,2.269912952806442,0.46615999999999996,0.1,0.29888702950180274,0.33150171937356987,4.64,4.64,4.64,4.64,,,,0.0012931636483514684,33.91129861446477,19.699926438371335,31.143965581961226,31.884240568957694,15.513387660491883,15.893206057404552,15.668974439493857,15.636513094403455,-1.628767786684688,-1.0332394792199266,-1.353908567854798,-1.3997184376597798,False,False,False,False,-0.85,-0.85,-0.85,-0.85
20,8.533333333,15.411527830875583,12.229333467185667,14.812286198793583,14.999230131448606,3.263306147306761,0.8452428181789788,1.83412985490787,2.081247829414119,0.43934249999999997,0.1,0.22827801739268616,0.26246023980382505,4.64,4.64,4.64,4.64,,,,0.0013316246841002157,33.392484406078815,19.709204280172006,28.701935400825995,29.918746438679413,17.056145195784573,17.452229906232034,17.28466207901951,17.243994382310696,-2.046015666998169,-1.430004122894255,-1.694009070367361,-1.738009894946212,False,False,False,False,-1.21,-1.21,-1.21,-1.21
20,8.616666667,15.416279933789284,12.248936215911156,14.86222800269321,15.035062410862627,3.0584770687123006,0.7879015570674627,1.758095047029562,1.9862725702835187,0.44197749999999997,0.1,0.23533547601367655,0.26935805877907765,4.64,4.64,4.64,4.64,,,,0.001328397319181169,33.47081335614042,19.724792366491005,29.02145816301233,30.1749899568718,16.938434133113013,17.312642907412975,17.147441033361453,17.109737168914613,-2.002014842419318,-1.430004122894255,-1.65000824578851,-1.738009894946212,False,False,False,False,-1.21,-1.21,-1.21,-1.21
20,10.0,21.380655537871156,12.983808417142384,21.5831840955208,22.662945491811396,6.82630055271224,2.487218662264431,6.450189362691307,7.763414555646907,0.3037674999999999,0.1,0.28479879162976984,0.35390152550313253,4.64,4.64,4.64,4.64,,,,0.0015618689019533517,27.65458399120449,18.511466476055677,26.79313282150084,28.620539499934264,26.076639024158844,26.834104298594923,26.139214453270423,25.9228604970218,-2.6823947921992657,-1.4913381772697432,-2.544965182784321,-2.9572540110291556,False,True,False,False,-0.85,-0.85,-0.85,-0.85
20,10.16666667,21.28739005787615,12.924890309939272,21.47668804745883,22.57449500264076,6.874293039256839,2.5135628065102606,6.481895924885684,7.812097901102537,0.3025775,0.1,0.2830177422673784,0.35219848186648284,4.64,4.64,4.64,4.64,,,,0.001563503016933608,27.54431295807472,18.488404086175045,26.662210249650172,28.495836662050547,26.135815945315088,26.895889767886633,26.20101421861096,25.982144276740453,-2.6823947921992657,-1.4913381772697432,-2.544965182784321,-2.9572540110291556,False,True,False,False,-0.85,-0.85,-0.85,-0.85
20,10.31666667,21.266124823245033,12.974210729640097,20.78407138096296,22.18839407748693,7.462632402820412,2.7699872539406165,6.372284865046121,7.920343232815189,0.29751999999999995,0.1,0.2484942230146793,0.31938657852275537,4.64,4.64,4.64,4.64,,,,0.0015706493475551814,27.671762546438913,18.712945082423495,25.759494930407072,27.960983451557908,26.320066769269847,27.126102959157407,26.50006198543772,26.245673104591766,-2.988831075897541,-1.674917715874681,-2.6263722179602,-3.1247531476240438,False,True,False,False,-0.95,-0.95,-0.95,-0.95
