Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.5213893765030493,0.09069191086273376,0.122156456134208,0.2684844630924681,Treg,gs
-3.7548904910790304,-1.6034220417956448,-0.5337927861579426,-1.546331943706842,TpDep,gs
0.6499471063728728,0.68001298261803,0.673089114765401,0.6678064563350099,std,gs
-1.173497592013212,0.04027447307614529,-0.07323487150250041,-0.2940632821848399,std2,gs
0.15368121644457977,0.012098176576634478,-0.44560908460637183,-0.06390209322213947,Treg,Ci
-7.39119578877869,-6.690540953504559,-1.6037889806725447,-4.0115894600747515,TpDep,Ci
0.13728580715133798,0.0608660251697386,-0.25390574403487154,-0.005053517550444919,std,Ci
-0.4959090918298734,0.009481708653949927,-0.34799674074074716,-0.2574513286493638,std2,Ci
0.2046982919072925,-1.3710872523353523,-14.339602913831468,-1.2792238115788832,Treg,Pleaf
-4.318566783066099,-2.8726581309085093,-1.7747503737415573,-2.7739631009952745,TpDep,Pleaf
,,,,std,Pleaf
,,,,std2,Pleaf
0.2780758106954756,-0.45482633275576534,-2.734175253341925,-0.5013830844664198,Treg,E
-4.997850290410777,-1.7349068954812168,-0.5672336194522847,-1.749204856365274,TpDep,E
0.26455742943458105,0.3013839437791992,0.3062664300219313,0.29093725956765315,std,E
-13.551688031514187,-7.629006264775644,-11.321226633160734,-10.33437300433584,std2,E
0.41966006736165484,0.37268068795412523,0.3461004179398418,0.3800547417786635,Treg,A
-0.31190445235605413,-0.07765427657043777,0.1761497203530925,-0.05177801605167032,TpDep,A
0.41135787279846936,0.4775765875361434,0.6816007457802646,0.5328720687910278,std,A
0.22838448511496012,0.2245072524248365,0.3660886392910765,0.27557346875641486,std2,A
