doy,year,hod,PPFD,VPD,Patm,Tref,Ps,Tair,CO2,u,ratiocrit,O2,Vmax25,gamstar25,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,LAI,max_leaf_width,g1,P50,P88,kmax,sref,fc,Tp,gmin_20,gmin_Tp,Tcrit,T50
[-],[-],[h],[umol m-2 s-1],[kPa],[kPa],[deg C],[MPa],[deg C],[Pa],[m s-1],[-],[kPa],[umol m-2 s-1],[Pa],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m2 m-2],[m],[kPa0.5],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[MPa-1],[m3 m-3],[deg C],[mol m-2 s-1],[mol m-2 s-1],[deg C],[deg C]
306,2022,12.56944444,426.75,2.5118985,100.33,30.715,-0.743,29.01,44.84751,0,0.05,20.8,117,4.22,1.42,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.15,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,3.62,0.0475,5.34,5.82,7.56,1,1.82,0.34784,40,0.0014,0.014,50.192,50.678
311,2022,12.62561111,164,3.9337164,101.838,37.28,-0.706,40.02,51.93738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.56183333,469.8,4.0742502,101.728,37.508,-0.8,36.75,48.117344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.68555556,363.5,2.103822,100.2675,28.735,-0.448,24.8,49.33161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.69152778,802,3.46531275,101.9325,35.8375,-0.552,39.22,56.3686725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.64326389,1136.25,3.62063575,101.79,34.4,-0.824,36.44,46.72161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.29796296,352.6666667,1.962216167,100.2616667,25.44,-0.694,24.81,48.82743167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.41291667,529.5,3.2663005,101.9375,34.1125,-0.877,35.53,52.192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.36673611,1076.25,3.019426,101.81,32.745,-1,34.13,52.12672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.13854167,300.5,2.07259625,100.285,29.2525,-0.456,25.87,45.629675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.23354167,130,2.40054025,101.86,35.655,-0.338,39.92,45.53142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.19236111,1286.25,3.787156,101.7575,35.2825,-0.816,36.55,49.25063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.21736111,1196.25,2.9410905,100.29,29.2275,-0.663,26.91,44.82963,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.155625,134.25,2.9168865,101.865,35.8075,-2.592,40.44,47.06163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.09972222,751.5,3.35071,101.76,35.46,-1.5,36.71,44.67264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
