site_spp,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,14.920828231405453,14.403978035048564,14.270809407366533,15.204142931801412,2.4159618181393694,2.0786521707445216,0.3970350565854735,0.3345566926098775,4.64,4.64,4.64,38.618168856364655,33.13285424005813,32.09428585164396,17.27621361821701,18.57710168395988,18.63133179763545,-9.2960327389237,-2.0634403117565343,-1.942897104637081,False,False,False,-1.3,499.75,18.4625,0.64825,100.7,39.29206181,20,8.8,14.3,2.31,32.3733375,0.38075,4.64,-1.9,19.625
Richmond_Eucalyptus_cladocalyx,14.929633635937385,14.413779538184485,14.382022662714984,15.255226434866238,2.418450815034225,2.3328927208026773,0.3960585154311291,0.38079858106759307,4.64,4.64,4.64,38.68286461669956,33.1796183833983,32.925688034363105,17.266078136937434,18.571790544399843,18.585417489233663,-9.2960327389237,-2.0634403117565343,-2.023259242716717,False,False,False,-1.3,500.0,18.4575,0.6505,100.7,39.35716313,20,8.9,14.325,2.31,32.44933125,0.37925,4.64,-2.0,19.8625
Richmond_Eucalyptus_cladocalyx,15.005210855212422,14.293338079885258,14.202018689706746,21.747494878242758,2.890546092034136,2.662165438008329,0.33568850309786,0.3058452236427175,4.64,4.64,4.64,38.91257402642389,32.43728688411819,31.7908826168033,17.919358638672442,19.72873792439734,19.764676027264127,-9.2960327389237,-2.312606798971081,-2.233249686017074,False,False,False,-1.4,500.0,19.71,0.9265,100.7,39.58945069,20,9.08333333333333,9.275,1.12,26.52181875,0.1225,4.64,-2.5,21.675
Richmond_Eucalyptus_cladocalyx,14.976791855327964,14.348363058279707,14.277844372033211,19.313525526782087,2.723565261769173,2.5389050530908017,0.3586118345071944,0.3312603836764442,4.64,4.64,4.64,38.566070704093626,32.49393955686723,31.97407317167728,17.520404817398404,19.150261091902976,19.179458009150192,-9.2960327389237,-2.233249686017074,-2.1935711295400706,False,False,False,-1.4,501.75,19.095,0.81525,100.7,39.24165263,20,9.15,15.075,2.075,29.080275,0.26525,4.64,-2.5,21.005
Richmond_Eucalyptus_cladocalyx,15.031807175329455,14.057425288441346,14.089883257718474,25.36893919045754,3.167711202344284,3.2685497730274777,0.3106498881786957,0.3220591218715617,4.64,4.64,4.64,38.70364883106001,31.814218114261717,32.0137367065596,19.580979042160514,21.59325823253635,21.57771153217428,-9.2960327389237,-2.1764059584631603,-2.217089540065792,False,False,False,-1.2,500.25,21.6225,1.1,100.7,39.38198775,20,9.31666666666667,12.925,3.4025,31.94270625,0.32625,4.64,-2.6,23.29
Richmond_Eucalyptus_cladocalyx,15.00900385271467,13.986351149408133,14.021667064297883,25.41870871773502,3.165332478544013,3.2685497730274777,0.3088205433698926,0.32045058724634873,4.64,4.64,4.64,38.663038519042814,31.768749509738182,31.980836606220933,20.000503854073386,21.99786020630681,21.981970766684746,-9.2960327389237,-2.1764059584631603,-2.217089540065792,False,False,False,-1.2,499.5,22.025,1.105,100.7,39.340444500000004,20,9.4,12.65,3.8825,32.8293,0.37325,4.64,-2.5,23.485
Richmond_Eucalyptus_cladocalyx,23.114198435417677,19.219695615152837,18.098507064875,49.36372838901167,7.163567643175048,5.692865523130068,0.32855476619606777,0.2534408476134928,4.64,4.64,4.64,38.24309348801653,29.461102854456477,27.43020549798573,23.870540552076157,27.689615316439525,27.935457641210128,-9.2960327389237,-3.710864142389056,-3.1483291758316088,False,False,True,-1.3,1801.5,26.7225,2.1275,100.6,39.28547569,20,10.8666666666667,14.225,3.47,23.7607125,0.16399999999999998,4.64,-2.95,31.0
Richmond_Eucalyptus_cladocalyx,23.09282286842725,19.569013382071763,18.590921976850666,40.2911415481244,6.1768676113859025,5.125289073518523,0.3476641484188234,0.2771145514517128,4.64,4.64,4.64,38.08414886632572,29.658151940203012,27.928729211749292,24.109745385552927,27.396953812227913,27.57944114850061,-9.2960327389237,-3.30905345199088,-2.9474238306325216,False,False,False,-1.3,1801.25,26.245,1.6975,100.6,39.12538219,20,10.983333333333302,16.45,4.355,27.6110625,0.264,4.64,-3.05,29.7725
Richmond_Eucalyptus_cladocalyx,23.10025912510644,18.76702492690556,17.998755469190684,44.90786876428602,6.735778635416844,5.686842747196928,0.3331310582435215,0.2757100880066797,4.64,4.64,4.64,38.140080893217664,29.705728815722235,28.29031132294435,25.004165387002548,28.491316596209234,28.667804613270626,-9.2960327389237,-3.6616777191892007,-3.2648921544191656,False,False,False,-1.4,1799.75,27.4375,1.93,100.6,39.18111094,20,11.15,17.125,4.6325,26.2938375,0.245,4.64,-3.25,31.1225
Richmond_Eucalyptus_cladocalyx,23.097732214615725,18.45627472705044,17.172752068208986,49.89992858332795,7.020212934384522,5.468500915302581,0.31372983206923555,0.2364939827046041,4.64,4.64,4.64,38.090450740871965,29.271652393874877,27.103719128011925,24.826208731325284,28.63891924126457,28.89956429821517,-9.2960327389237,-3.780713388620212,-3.1855350414651586,False,False,True,-1.4,1800.25,27.645,2.1675,100.6,39.13146169,20,11.233333333333302,16.975,4.265,23.68471875,0.199,4.64,-3.55,32.05
