Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
298.3317225621109,304.9233562630101,308.33703799002603,303.86403893838235,obs,Tleaf
102.19484800311497,109.30678301494157,149.08167610869108,120.19443570891588,std,Tleaf
95.41204469165207,117.44910949067594,147.15843254378152,120.00652890870317,pmax,Tleaf
404.1146683193314,419.3317099494151,408.00146132264587,410.4826131971308,obs,Ci
208.61454227030896,252.65741014768375,284.4241323519861,248.56536158999293,std,Ci
180.66148150275507,224.20400973083423,247.1010864658809,217.3221925664901,pmax,Ci
343.72047288828315,384.8488388905206,226.27382279409542,318.28104485763305,obs,Pleaf
,,,,std,Pleaf
-146.91427396235787,-66.03841097999043,-111.43004418274211,-108.12757637503013,pmax,Pleaf
691.612040980603,702.0429533453926,665.8853943774784,686.513462901158,obs,E
53.488894222136764,133.09852152216698,115.96644692726747,100.8512875571904,std,E
14.016785228387723,173.68765559112782,136.90045010947105,108.2016303096622,pmax,E
404.8919074867761,447.44360871780714,384.24176330650863,412.1924265036973,obs,A
319.67050823711975,345.54097716458017,261.44140626120156,308.8842972209672,std,A
317.65854325908293,356.88980992209713,275.53527428360775,316.69454248826264,pmax,A
