E_crebra_HW2,E_fibrosa_HW2,E_moluccana_HW2,E_sideroxylon_HW2,E_tereticornis_HW2,mean,model,variable
1.472071133522375,1.1332917140322794,0.788234472770726,1.434827547280343,1.9231054921692692,1.3503060719549986,Const0.01,gs
1.0763622127919625,5.388847287856518,10.299826762653472,2.402568085640414,1.5573611092789148,4.144993091644256,Const0.1,gs
5.844891239900418,16.145173940225362,23.93800587091139,10.219132284641304,7.342357571789512,12.697912181493598,Const0.2,gs
11.405341977980745,26.901500592594207,37.57618497916931,18.035696483642194,15.118585504139109,21.807461907505115,Const0.3,gs
16.965792716061074,37.65782724496306,51.21436408742724,25.852260682643088,22.894813436488704,30.91701163351663,Const0.4,gs
22.526243454141404,48.41415389733191,64.85254319568514,33.66882488164397,30.671041368838292,40.026561359528145,Const0.5,gs
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6.716758705794536,3.4531400450375185,1.2121652337770064,6.159492206995618,9.233148542853408,5.3549409468916185,Const0.01,Pleaf
3.5359497555531525,2.046508630335123,1.671100348032127,3.234184421688686,5.208164966490715,3.139181624419961,Const0.1,Pleaf
2.473642387007392,0.9966356896413495,2.517199069122889,1.4794358023420944,1.787694463809479,1.8509214823846407,Const0.2,Pleaf
1.3144566719932922,1.1143019785269717,3.8578891136803577,1.070582219962988,1.3461153378712936,1.7406690644069804,Const0.3,Pleaf
1.8519449882126107,1.8300613458227273,5.5695690866193965,1.9606626919023213,2.6430629186292283,2.771060206237257,Const0.4,Pleaf
2.9202514864650038,2.6874489768795002,6.2012586986915625,3.52892854014922,4.525962064205879,3.9727699532782332,Const0.5,Pleaf
1.9594189015784038,1.4074898915344203,0.7315965392591,1.9982572925290139,1.2313685572212294,1.4656262364244335,Const0.01,E
1.5589241098253228,5.73237949875588,9.352731863454464,3.367408944788375,0.9217019852060715,4.186629280406022,Const0.1,E
6.790946680195601,16.195990938411118,20.046658521955436,12.126857962580631,4.518463434003849,11.935783507429326,Const0.2,E
12.461604432385009,26.009998520336453,30.076661869685637,20.03322911693982,8.301531514484353,19.376605090766255,Const0.3,E
17.790783634396927,35.21783725222527,39.50270907046618,27.46347895353231,11.856799063819395,26.366321594888017,Const0.4,E
22.808427706346773,43.66057649398451,48.37775652484065,34.45935836157439,15.204240486916502,32.90207191473256,Const0.5,E
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
