site_spp,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std_gmin),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),PPFD,VPD,Patm,Tref,Ps,Tair,CO2,doy,hod,E,gs,gb,Pleaf,Tleaf
E_crebra_HW2,15.533163097163765,10.919872968775225,18.927252219289233,22.140311778429766,22.140311778429766,3.0986443245695603,1.7197996810880676,4.211641538596823,8.440494583237223,8.440494583237223,0.09697925,0.05201720272110219,0.13581293089030816,0.305489774337094,0.305489774337094,2.92139875,2.92139875,2.92139875,2.92139875,2.92139875,0.0015349147745885234,0.0015057175471390749,19.574481715266,11.935830669170473,22.69311364138171,33.04666341329679,33.04666341329679,25.29294962236609,25.66093958354713,25.005547345788816,23.992798479022284,23.992798479022284,-1.7223917925860848,-1.4602588382032025,-1.9262729793283264,-2.6835459586566524,-2.6835459586566524,5.367677861011623,5.367677861011623,False,True,False,False,False,1173.0,3.10358225,100.2925,29.225,-1.169,24.23,45.532795,306,12.07694444,3.00424525,0.09697925,2.92139875,-2.366,31.6075
E_crebra_HW2,6.131401569484763,6.5340418030588365,7.1931610382377045,8.926552344583364,8.926552344583364,1.3724471027700862,1.5269991094961102,2.183919553922419,10.422055474123514,10.422055474123514,0.05358725,0.06014986075646329,0.0889909993732789,0.6439330625131625,0.6439330625131625,2.9213815,2.9213815,2.9213815,2.9213815,2.9213815,0.002014557753237094,0.0019644131444158147,26.938277324331736,27.84432379277515,32.26289384167769,42.84389657666211,42.84389657666211,40.153642750592134,40.1155776315455,39.95855530326366,38.57823703400211,38.57823703400211,-0.6338259103603321,-0.6668010404118081,-0.7987015606177121,-2.2496072828826565,-2.2496072828826565,5.527904976693515,5.527904976693515,False,False,False,False,False,310.0,2.55984725,101.8575,35.6225,-0.40299999999999997,39.92,45.530302500000005,311,12.264375,1.37454875,0.05358725,2.9213815,-2.116,32.815
E_crebra_HW2,10.044130534628847,11.945271249487321,16.46848519772361,21.184736698191045,21.184736698191045,2.216113921030876,2.5735463222439634,5.092260031483368,11.880887257811716,11.880887257811716,0.0548795,0.06498847299356557,0.138838449064734,0.3987219031431181,0.3987219031431181,2.92187175,2.92187175,2.92187175,2.92187175,2.92187175,0.0019096295283211255,0.0018620559437425906,21.843683768319078,21.56945324490501,31.818111186645236,42.045148889266315,42.045148889266315,37.764579278129844,37.66953553441846,37.03881001748866,35.64318513795823,35.64318513795823,-1.103163872175501,-1.165857850871418,-1.6360626910907945,-2.8585952756611728,-2.8585952756611728,5.277122794389799,5.277122794389799,False,False,False,False,False,1049.25,3.7484835,101.765,35.355,-0.727,36.55,51.594854999999995,312,12.22104167,2.031698,0.0548795,2.92187175,-2.299,36.215
E_crebra_HW2,15.330978487911825,15.677706479576955,16.548403342928776,17.86392794104106,17.86392794104106,2.371069865984045,2.4217401604226856,3.2141996846688947,7.513213352000864,7.513213352000864,0.122316,0.12515978217669127,0.17191534799765504,0.4848831705602557,0.4848831705602557,2.9206585,2.9206585,2.9206585,2.9206585,2.9206585,0.0015296933923542072,0.0015037903140454932,28.881119160369504,28.878386101827182,33.40542449379152,42.65753506221749,42.65753506221749,25.057442521476194,25.044792431505137,24.850766653609014,23.92255099131341,23.92255099131341,-0.944772168056123,-0.944772168056123,-1.0742405274580071,-1.8510506838693108,-1.8510506838693108,5.611939552692556,5.611939552692556,False,False,False,False,False,604.0,1.97385175,100.265,28.55,-0.524,24.8,49.33038,306,11.645,2.371673,0.12231600000000001,2.9206585,-2.613,27.4975
E_crebra_HW2,10.295547996805716,11.677125233118131,12.72817689801384,16.32875540683413,16.32875540683413,2.2422846952880957,2.9988955133113877,4.2039073096600434,13.677287687284512,13.677287687284512,0.073837,0.10273829745701944,0.15176120838344614,0.7469596982826897,0.7469596982826897,2.92162,2.92162,2.92162,2.92162,2.92162,0.001997051298680534,0.0019395043249865762,33.52664777835753,37.58461527423411,42.32282531095646,52.01608067237272,52.01608067237272,39.95524216332488,39.76405808462094,39.476992414549066,37.87831384040961,37.87831384040961,-0.6380131184066569,-0.7733508245422092,-0.9763573837455376,-2.668078710439941,-2.668078710439941,5.374899208960601,5.374899208960601,False,False,False,False,False,702.75,2.8702520000000002,101.93,35.7325,-0.23199999999999998,39.22,56.367290000000004,311,11.66458333,2.061449,0.073837,2.92162,-2.3480000000000003,34.285
E_crebra_HW2,10.373549799062312,12.173469818391295,14.176229097873685,17.288816360197135,17.288816360197135,2.094937799608731,2.636975473738457,4.11345184877987,10.706780133776515,10.706780133776515,0.0671215,0.0864719486991836,0.1426383477578185,0.4759559147852793,0.4759559147852793,2.92148125,2.92148125,2.92148125,2.92148125,2.92148125,0.0018800038464541664,0.0018370901738080094,23.34765795983256,25.45555276091199,31.995862848793287,41.883970761302926,41.883970761302926,36.65352718759087,36.51740318316971,36.165135262026965,34.902826671915214,34.902826671915214,-0.9008219079531709,-0.9975915192131266,-1.2556438159063417,-2.4491356881124617,-2.4491356881124617,5.46460449649528,5.46460449649528,False,False,False,False,False,672.5,3.0529105,101.795,34.38,-0.546,36.09,48.556215,312,11.61069444,2.01221825,0.0671215,2.92148125,-2.301,33.275
E_crebra_HW2,15.139673152042274,17.052496122536247,18.323423187519854,19.81375346476445,19.81375346476445,2.1799295550088256,2.7857610189304904,3.8503072597336816,8.333051050231239,8.333051050231239,0.0932835,0.12181640666220513,0.17511747650316134,0.4476935690336467,0.4476935690336467,2.92134725,2.92134725,2.92134725,2.92134725,2.92134725,0.0015345459335960954,0.0015070661734678293,23.171215218917666,26.5978672687394,32.10691812284018,41.49961153142494,41.49961153142494,25.43608153773483,25.28237398783117,25.02109641096761,24.041902344595808,24.041902344595808,-0.9706663847383152,-1.066832980922894,-1.2591661732920516,-2.0605544748302083,-2.0605544748302083,5.5740160871728515,5.5740160871728515,False,False,False,False,False,722.0,2.31937375,100.275,29.405,-0.586,24.94,49.435575,306,11.79131944,2.1505330000000002,0.0932835,2.92134725,-2.14,29.2675
E_crebra_HW2,7.175403110046358,6.191760584107366,15.588752845076337,15.524040850242141,15.524040850242141,1.6930702405162252,1.2046483926638842,11.73422380612666,11.634675713861412,11.634675713861412,0.04233825,0.029943819570747824,0.42327188876157307,0.4189353560314732,0.4189353560314732,2.92219425,2.92219425,2.92219425,2.92219425,2.92219425,0.0019904435123184747,0.001991237223754668,26.41443978991456,20.430482394024807,47.362059358368036,47.19669360561578,47.19669360561578,41.486253226710296,41.62137753198585,39.30557607549754,39.32212161861558,39.32212161861558,-1.145892004032348,-1.0535244028226436,-2.9624548278232012,-2.9316656274199677,-2.9316656274199677,5.234291972327288,5.234291972327288,False,True,False,False,False,986.0,3.540786,101.9175,36.2375,-0.838,40.09,53.914357499999994,311,11.80805556,1.485965,0.04233825,2.92219425,-1.476,36.47
E_crebra_HW2,8.55060320491366,9.028334022305831,13.807113527486624,19.533507069789213,19.533507069789213,2.5071542969977463,2.4141533923592817,5.122149438516521,12.872678958351425,12.872678958351425,0.058491,0.05688074945556425,0.13150967643832384,0.4160862642666915,0.4160862642666915,2.92178675,2.92178675,2.92178675,2.92178675,2.92178675,0.0019311540472501012,0.0018755620160405074,21.682908864782075,19.685320076003052,27.96409321815548,37.03862036051415,37.03862036051415,38.40588764465283,38.43057987719853,37.71389895758783,36.039580010075,36.039580010075,-1.0989231775045838,-1.0672143791113993,-1.5428463550091678,-2.9697422827024735,-2.9697422827024735,5.210742692545856,5.210742692545856,True,True,False,False,False,1383.5,3.7787879999999996,101.8025,34.6325,-0.655,36.58,45.505717499999996,312,11.74777778,2.218121,0.058490999999999994,2.92178675,-2.4,35.655
E_crebra_HW2,6.703009146268728,15.17182951102056,18.93927424174805,21.820358336560243,21.820358336560243,0.8249927778051742,2.1466295679548706,3.6464921499278704,8.261866166932194,8.261866166932194,0.0311705,0.08486093962283886,0.1517365961654619,0.4077722389515783,0.4077722389515783,2.92066525,2.92066525,2.92066525,2.92066525,2.92066525,0.0015557036538835813,0.0015233934298753314,14.660191822436467,19.951546523724534,28.28551643274696,39.353570983154,39.353570983154,26.493676043466508,26.125895285921125,25.727929883660565,24.632920594141112,24.632920594141112,-1.028016353774968,-1.2422392490599232,-1.5176686858548658,-2.3439569962396933,-2.3439569962396933,5.499994321810466,5.499994321810466,True,False,False,False,False,1111.75,2.34838125,100.2775,25.8475,-0.875,24.81,48.835142499999996,306,11.32652778,0.7290705,0.031170499999999997,2.92066525,-1.9,28.2125
