E_crebra_HW2,E_fibrosa_HW2,E_moluccana_HW2,E_sideroxylon_HW2,E_tereticornis_HW2,mean,model,variable
-0.2795861776937574,-0.08481932381113833,-0.40936001722817195,-0.07121948684117263,0.1682440203001172,-0.11674835939527872,driv,Tleaf
-0.26164061861141397,-0.12148852935874888,-0.7313968164196982,-0.09339359232707589,0.09976130422035978,-0.18954446564584648,std,Tleaf
-0.08571555934120312,0.004815464079962695,-0.9201393835480352,-0.0944973957502131,0.2193487467633376,-0.11672311247592004,std_gmin,Tleaf
-0.10878184180679229,0.07778688876334261,-1.0961738327375845,-0.0961201440405628,0.28456856530190255,-0.10310603173748856,pmax,Tleaf
-0.10878184180679229,0.07778688876334261,-1.0961738327375845,-0.0961201440405628,0.28456856530190255,-0.10310603173748856,pmax_gmin,Tleaf
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
-21.39711664082873,-5.884776966627272,-0.834868184959215,-19.767357658573694,-22.880486830228715,-6.217608126575929,driv,Pleaf
,,,,,,std,Pleaf
,,,,,,std_gmin,Pleaf
-3.700103735914145,-2.5728370832324154,-4.114880342835733,-0.7521847244177811,-1.611791901845256,-2.1740683131843452,pmax,Pleaf
-3.700103735914145,-2.5728370832324154,-4.114880342835733,-0.7521847244177811,-1.611791901845256,-2.1740683131843452,pmax_gmin,Pleaf
0.9530762502345322,0.9257724811931187,0.9528172518384871,0.9622965516423012,0.9870000647436638,0.9565632725490285,driv,E
-0.49780699641250936,-4.836022597132737,-7.0003367877426985,-2.480491597771516,-0.7133901575708161,-2.001682370193479,std,E
-32.2767629470509,-33.05015578141138,-71.2100754209128,-20.92572717419995,-12.573093249948528,-25.232688436715662,std_gmin,E
-105.2129563740297,-542.315919070652,-350.5325636435216,-158.1721604185876,-25.515603634620955,-86.3590268200882,pmax,E
-105.2129563740297,-542.315919070652,-350.5325636435216,-158.1721604185876,-25.515603634620955,-86.3590268200882,pmax_gmin,E
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
