drought_only,HW_and_drought_constD,HW_and_drought_varD_pwr,HW_and_drought_varD_RH60,HW_only_constD,HW_only_varD_pwr,HW_only_varD_RH60,mean,model,variable
2.701004010341422e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,,-1.3740529926680628e-16,-6.948768254998153e-17,Const0.01,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,,1.3740529926680628e-16,6.948768254998153e-17,Const0.1,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,,1.3740529926680628e-16,6.948768254998153e-17,Const0.2,gs
2.701004010341422e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,,-1.3740529926680628e-16,-6.948768254998153e-17,Const0.3,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.3740529926680628e-16,,1.3740529926680628e-16,6.948768254998153e-17,Const0.4,gs
,,,,,,,,Const0.5,gs
0.22612813378951205,-0.7254552857653231,-0.7285440878425591,-0.7272922160129027,-0.7254552857653231,0.37066439141329593,-0.7272922160129027,-0.4338923665994575,Const0.01,Ci
0.22612813378951216,-0.7142166574960237,-0.7156451527587528,-0.7151247821890305,-0.7142166574960237,0.26519245678083186,-0.7151247821890305,-0.4404296345083596,Const0.1,Ci
0.2261281337895122,-0.7165860564548381,-0.7171262920627404,-0.7167284780259069,-0.7165860564548381,0.24783469401440564,-0.7167284780259069,-0.44425607617433044,Const0.2,Ci
0.2261281337895122,-0.7146197948364917,-0.7161209471391398,-0.7159911170649403,-0.7146197948364917,0.2547600648350234,-0.7159911170649403,-0.4423506531882097,Const0.3,Ci
0.22612813378951216,-0.7143324589237702,-0.7140148160523611,-0.7147238215166136,-0.7143324589237702,0.26392369826932227,-0.7147238215166136,-0.44029650641061346,Const0.4,Ci
0.22612813378951213,-0.712883848322631,-0.7136929939814953,-0.7134550607469081,-0.712883848322631,0.26996746264455745,-0.7134550607469081,-0.43861074509807196,Const0.5,Ci
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.23161359463170433,-0.5593176617290055,-0.5735391485724247,-0.5692834239707549,-0.5593176617290055,0.21409078133327644,-0.5692834239707549,-0.34071956342956644,Const0.01,E
0.23161359463170433,-0.573895548881483,-0.5757131502689472,-0.5712982601999993,-0.573895548881483,0.22466496206258124,-0.5712982601999993,-0.34426031596251805,Const0.1,E
0.23161359463170433,-0.5760128591485862,-0.578775304008487,-0.5732295048631596,-0.5760128591485862,0.22949469872884992,-0.5732295048631596,-0.34516453409591774,Const0.2,E
0.23161359463170422,-0.5568738519897988,-0.5774715180525033,-0.5764003118566762,-0.5568738519897988,0.2298523561601239,-0.5764003118566762,-0.34036484213623214,Const0.3,E
0.23161359463170436,-0.5835413965785812,-0.5760668729158419,-0.5741752471709373,-0.5835413965785812,0.24391804098911302,-0.5741752471709373,-0.34513836068486586,Const0.4,E
0.23161359463170433,-0.5809183243792275,-0.5799581639039122,-0.5703806075244012,-0.5809183243792275,0.23826634128507915,-0.5703806075244012,-0.3446680131134837,Const0.5,E
-0.08137232276351226,0.1095244901314527,0.11322430828309456,0.11187998067113666,0.1095244901314527,-0.009349007648520964,0.11187998067113666,0.06647313135374858,Const0.01,A
-0.08137232276351229,0.19909669902597799,0.1893831907953476,0.19372916985989544,0.19909669902597799,-0.1853706358024511,0.19372916985989544,0.1011845671430187,Const0.1,A
-0.08137232276351226,0.21191657640853762,0.19820290453771255,0.20518461349883974,0.21191657640853762,-0.19651642191276494,0.20518461349883974,0.10778807709659857,Const0.2,A
-0.08137232276351226,0.20720329774434534,0.1896893363456592,0.20050122462581318,0.20720329774434534,-0.19065333265000362,0.20050122462581318,0.10472467509606577,Const0.3,A
-0.08137232276351224,0.20443833313020024,0.18125020461225694,0.19232630919598584,0.20443833313020024,-0.18718916693124263,0.19232630919598584,0.10088828565283917,Const0.4,A
-0.08137232276351226,0.19917156045107753,0.1760318246916151,0.18404210110458055,0.19917156045107753,-0.1812199213633206,0.18404210110458055,0.09712384338229978,Const0.5,A
