doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
1,12,1.8301731833881996,12.933938372926978,17.35768444428276,19.031584708867996,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765599,5.794418173042243,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,11.923942614225677,20.100970503607243,26.718353795910488,30.37381071502845,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342526,24.87832102015549,24.646025395811392,24.44292652627111,24.264215073378164,-1.4396785564770034,-1.9158212342010457,-2.391963911925088,-2.8681065896491305,-3.304570710896169,-3.7410348321432076,,,,,,,True,True,False,False,False,False,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
2,12,1.8301731833881996,12.933938372926978,17.35768444428276,19.031584708867996,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765599,5.794418173042243,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,11.923942614225677,20.100970503607243,26.718353795910488,30.37381071502845,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342526,24.87832102015549,24.646025395811392,24.44292652627111,24.264215073378164,-1.937165993662933,-2.420323911281064,-2.940647822562129,-3.42380574018026,-3.944129651461324,-4.427287569079455,,,,,,,True,True,False,False,False,False,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
3,12,1.8301731833881996,12.933938372926978,17.35768444428276,19.031584708867996,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765599,5.794418173042243,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,11.923942614225677,20.100970503607243,26.718353795910488,30.37381071502845,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342526,24.87832102015549,24.646025395811392,24.44292652627111,24.264215073378164,-2.3703118868233535,-2.86249509458683,-3.3898342457619837,-3.9171733969371365,-4.479668491523967,-5.077319529522474,,,,,,,True,True,False,False,False,False,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3
4,12,1.8301731833881996,12.933938372926978,17.35768444428276,19.031584708867996,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765599,5.794418173042243,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,11.923942614225677,20.100970503607243,26.718353795910488,30.37381071502845,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342526,24.87832102015549,24.646025395811392,24.44292652627111,24.264215073378164,-2.6672968114464695,-3.1720228972949895,-3.7440457945899794,-4.3160686918849684,-4.955388400626427,-5.628356515091122,,,,,,,True,True,False,False,False,False,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6
5,12,1.8301731833881996,12.933938372926978,17.35768444428276,19.031584708867996,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765599,5.794418173042243,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,11.923942614225677,20.100970503607243,26.718353795910488,30.37381071502845,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342526,24.87832102015549,24.646025395811392,24.44292652627111,24.264215073378164,-2.865286761195213,-3.3875808507569176,-3.9751617015138354,-4.59538593286836,-5.280896925418097,-6.064338059760654,,,,,,,True,True,False,False,False,False,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8
6,12,1.653620559793258,10.96650187485094,14.632545575911289,16.246029226839873,17.151188026092584,17.745525077585953,0.1856126857790512,1.7557132571697716,3.3133981071530916,4.706197305833673,5.960155272499741,7.096027005651236,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,14.72849938937081,23.268107782392303,28.943635694503335,31.913483996982443,33.67927537143321,34.83760032188127,31.492840923775834,31.192861958882244,30.91237256892415,30.676107635185538,30.475185701957102,30.30285192320871,-3.0632767109439567,-3.6644054649115465,-4.297172574351114,-4.993216394734639,-5.75253692606212,-6.7649643011654295,,,,,,,True,True,False,False,False,False,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
7,12,0.59509850863591,1.1246425868930228,1.2858446390148122,1.4016645178439984,1.4935167846082147,1.5684739547174558,0.24406998195018853,2.1711854274808973,3.9039972210363847,5.35146010779066,6.60445731466128,7.719357659478534,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,31.539984789301137,39.1845921502136,39.94441421182997,40.21996050829802,40.36613684579027,40.458444261667296,46.87308493200249,46.463265615566435,46.125867703577086,45.869044024602644,45.66620913538143,45.50116237076637,-3.5873773779737244,-4.40289957239515,-5.305799144790299,-6.383453473132897,-8.189252617923195,-9.296032738923701,,,,,,,True,True,True,True,True,True,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
8,12,0.489957314054611,0.8573327883794248,0.9781709879884888,1.0670953013902273,1.1380141800195693,1.1959218587505145,0.2506099769898828,2.2174733387607715,3.970503112475289,5.42563246356085,6.680297549999196,7.794151039661806,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,33.2104336316357,39.616165462098806,40.19711718396913,40.40630004560881,40.517173841433674,40.58723633351624,47.912611385649235,47.490666433963185,47.14682094804481,46.887202904408,46.683387662046435,46.51828166870395,-4.106452919375351,-5.064529193753508,-6.262124536726204,-8.39118292423322,-9.296032738923701,-9.296032738923701,,,,,,,True,True,True,True,True,True,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
9,12,0.39401664540003606,0.6456379683242744,0.7363978577603137,0.8045275006692332,0.8590615742670372,0.9035695198970513,0.25764074141829924,2.266915096202539,4.041251219240135,5.504373699354722,6.760770527126435,7.873570148008605,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,34.73490390662964,39.957931205234864,40.395667419239075,40.552506777269166,40.63565491869197,40.68827004494214,48.95432213991993,48.51943224552577,48.168745721368474,47.90614233844535,47.701229809249675,47.53597579180327,-4.620503335148837,-5.801436019607436,-7.753590049018591,-9.296032738923701,-9.296032738923701,-9.296032738923701,,,,,,,True,True,True,True,True,True,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
10,12,0.30933224258769715,0.4801421274373013,0.5484371084874218,0.6005250928344129,0.6423033481509881,0.67635631143329,0.2652009791985163,2.3197194879035163,4.116479787425569,5.587904018466375,6.846068515430033,7.957779407076444,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,36.080700007468664,40.22509850062688,40.55000440919483,40.66607718708804,40.727693133003505,40.766765658155634,49.99829753941511,49.54959148843513,49.19165394024935,48.92586903216487,48.71973987952014,48.554247520412915,-5.151116729509879,-6.705460233040062,-9.296032738923701,-9.296032738923701,-9.296032738923701,-9.296032738923701,,,,,,,True,True,True,True,True,True,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
11,12,0.1766124876173987,0.2544808464632444,0.29325600445104144,0.3234723567237072,0.3477176901519633,0.36739472742154095,0.28207964471091296,2.4363072047321483,4.281368924607528,5.770224675297305,7.0318989942277765,8.141199612925504,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,38.19031557550878,40.58936518412806,40.75949300335425,40.820263520745456,40.85272242909495,40.87344716813533,52.09337199260146,51.61419961814166,51.24046470282565,50.96770939851574,50.75878084908603,50.59253574923014,-6.231881700225788,-9.296032738923701,-9.296032738923701,-9.296032738923701,-9.296032738923701,-9.296032738923701,,,,,,,True,True,True,True,True,True,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
12,12,0.0892647194761848,0.1250361627581269,0.14695312037442834,0.1642293130464773,0.1780564744909494,0.18921703501886097,0.3016183603392583,2.569133738672934,4.4672213954970275,5.974392852694767,7.239275737361808,8.345608400975085,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,39.57915666656213,40.798291625346096,40.87955955815299,40.90883936894665,40.924681053788426,40.934919961217695,54.19851065772431,53.68470002146477,53.29333435777579,53.0127720315278,52.80054514487137,52.633172386399465,-6.480043162314707,-9.296032738923701,-9.296032738923701,-9.296032738923701,-9.296032738923701,-9.296032738923701,,,,,,,True,True,True,True,True,True,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2
13,12,1.1362875568622628,3.5223847260167758,4.255525875213783,4.663520681043014,4.966535379643014,5.207096196141021,0.21756012958662255,2.0154262588464986,3.6273279415174926,5.0416860927775975,6.288004173172002,7.408779433201848,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,,,,,,,22.94428367277443,35.2797983130522,37.504238588733436,38.40195752208042,38.88923292491678,39.19922493438037,41.70552317907862,41.34033260001381,41.03520286013425,40.78969269206134,40.59010997033461,40.42409634683452,-3.0632767109439567,-3.7593205313274813,-4.455364351711006,-5.18304652756651,-6.005643769837948,-7.144624566829171,,,,,,,True,True,True,True,True,True,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
