drought_only,HW_and_drought_varD_RH60,HW_only_varD_RH60,mean,model,variable
0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,Const0.01,gs
0.0,0.0,0.0,0.0,Const0.1,gs
0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,Const0.2,gs
0.5,0.5,0.5,0.5,Const0.3,gs
0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,Const0.4,gs
0.8333333333333335,0.8333333333333335,0.8333333333333335,0.8333333333333335,Const0.5,gs
0.33333333333333326,0.0,0.0,0.11111111111111109,Const0.01,Ci
0.0,0.16666666666666663,0.16666666666666663,0.11111111111111109,Const0.1,Ci
0.16666666666666663,0.33333333333333326,0.33333333333333326,0.27777777777777773,Const0.2,Ci
0.5,0.5,0.5,0.5,Const0.3,Ci
0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,Const0.4,Ci
0.8333333333333335,0.8333333333333335,0.8333333333333335,0.8333333333333335,Const0.5,Ci
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.5,0.16666666666666663,0.16666666666666663,0.27777777777777773,Const0.01,E
0.16666666666666663,0.0,0.0,0.055555555555555546,Const0.1,E
0.0,0.33333333333333326,0.33333333333333326,0.22222222222222218,Const0.2,E
0.33333333333333326,0.5,0.5,0.4444444444444444,Const0.3,E
0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,Const0.4,E
0.8333333333333335,0.8333333333333335,0.8333333333333335,0.8333333333333335,Const0.5,E
0.33333333333333326,0.8333333333333335,0.8333333333333335,0.6666666666666666,Const0.01,A
0.0,0.0,0.0,0.0,Const0.1,A
0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,Const0.2,A
0.5,0.33333333333333326,0.33333333333333326,0.38888888888888884,Const0.3,A
0.6666666666666665,0.5,0.5,0.5555555555555555,Const0.4,A
0.8333333333333335,0.6666666666666665,0.6666666666666665,0.7222222222222222,Const0.5,A
