drought_only,HW_and_drought_varD_RH60,HW_only_varD_RH60,mean,model,variable
-5.02831684625652,-4.414773249719657,-4.414773249719657,-4.6070288705329965,Const0.01,gs
-0.24082596644635967,-0.2934537058298514,-0.2934537058298514,-0.2756385911505066,Const0.1,gs
-2.118591689622721,-1.4184285909539458,-1.4184285909539458,-1.6237766722850457,Const0.2,gs
-11.572357448669122,-8.547844342161651,-8.547844342161651,-9.394220765040275,Const0.3,gs
-28.602123243585577,-21.681700959452986,-21.681700959452986,-23.61237825028507,Const0.4,gs
-53.207889074372055,-40.81999844282792,-40.81999844282792,-44.28165386920057,Const0.5,gs
-3.6520993888407682,-8.075513255327806,-8.075513255327806,-5.990912444204641,Const0.01,Ci
-0.0004547008097386396,-11.031208177298435,-11.031208177298435,-2.5916207778721443,Const0.1,Ci
-2.19748653920648,-12.258997541323135,-12.258997541323135,-5.926021170452908,Const0.2,Ci
-5.387261140996223,-13.36221237637599,-13.36221237637599,-9.296977839258467,Const0.3,Ci
-7.950954720226358,-14.195354640106558,-14.195354640106558,-11.393749759708488,Const0.4,Ci
-9.885572642866475,-14.809254286754465,-14.809254286754465,-12.769761880295997,Const0.5,Ci
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-26.075178266518616,-9.261692152355502,-9.261692152355502,-12.07051206390105,Const0.01,E
-3.88725465683636,-5.432264600963083,-5.432264600963083,-4.834406638615806,Const0.1,E
-1.429065097936752,-23.540532642867728,-23.540532642867728,-6.109607748716714,Const0.2,E
-16.621000657913594,-55.440327755897755,-55.440327755897755,-31.890052919687605,Const0.3,E
-45.042384326991225,-98.93739392491096,-98.93739392491096,-71.04301647346927,Const0.4,E
-83.37750423174076,-147.55301255730913,-147.55301255730913,-117.58922778570499,Const0.5,E
-5.052985498908673,-13.527220695441704,-13.527220695441704,-9.086884956933313,Const0.01,A
-0.7448051163467204,-6.307922516803436,-6.307922516803436,-2.958196942384294,Const0.1,A
-4.420042445194965,-7.347882212816261,-7.347882212816261,-6.1143712219978035,Const0.2,A
-6.612363650985204,-8.272478869312875,-8.272478869312875,-7.6522886436343995,Const0.3,A
-7.822758587612379,-8.854385427088715,-8.854385427088715,-8.487247358531206,Const0.4,A
-8.5617239572429,-9.220668128875461,-9.220668128875461,-8.992070325941741,Const0.5,A
