year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
[-],[-],[h],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Mpa],[deg C],[umol m-2 s-1],[Pa]
2022,306,11.85548611,2.506658,0.08828775,2.92089725,-1.989,31.4075,0,0
2022,311,11.91048611,1.1251125,0.0404545,2.92187775,-2.138,34.515,0,0
2022,312,11.84361111,1.49961575,0.03716925,2.92152125,-2.655,36.6325,0,0
2022,306,12.17208333,1.37206625,0.07582375,2.92068775,-1.8,26.4575,0,0
2022,311,12.21118056,1.322183,0.05129125,2.92136825,-1.982,32.865,0,0
2022,312,12.16805556,1.52232325,0.0388695,2.921519,-2.099,36.225,0,0
2022,306,11.75805556,2.304769,0.0889805,2.921008,-1.706,30.8225,0,0
2022,311,11.775,1.88387,0.054475,2.92236275,-2.39,36.3625,0,0
2022,312,11.71127778,1.741434,0.0478608,2.9214976,-2.079,35.75,0,0
2022,306,11.41574074,1.437117333,0.072860667,2.921071,-1.991,26.825,0,0
2022,311,11.24208333,0.972506,0.03485425,2.920923,-2.158,33.32,0,0
2022,312,11.23,1.82024275,0.05496925,2.92163675,-2.1,33.9375,0,0
2022,306,12.62118056,0.35275525,0.01283325,2.9213145,-1.724,31.365,0,0
2022,311,12.65851852,0.689457667,0.016624667,2.921427,-1.736,37.59,0,0
2022,312,12.59388889,1.236306,0.027831667,2.921562333,-1.977,38.37666667,0,0
