year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
[-],[-],[h],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Mpa],[deg C],[umol m-2 s-1],[Pa]
2022,306,11.37555556,-0.84421775,-0.030026,2.92188275,NA,29.5525,0,0
2022,311,11.30861111,0.3663565,0.01544,2.9212135,NA,32.58,0,0
2022,312,11.28409722,0.8797905,0.03244325,2.92102125,NA,31.3875,0,0
2022,306,12.66222222,0.200272,0.0046135,2.921126,-1.021,36.3475,0,0
2022,311,12.70625,0.12397675,0.00218725,2.92162075,-2.249,42.0375,0,0
2022,312,12.64159722,0.67490175,0.01234075,2.92172775,-2.085,42,0,0
2022,306,12.05048611,0.88437,0.02086825,2.9211515,-1.3,35.245,0,0
2022,311,12.29798611,0.50206475,0.01313725,2.92175975,-1.962,36.53,0,0
2022,312,12.25354167,0.70796875,0.013396,2.92185325,-1.546,40.1625,0,0
2022,306,12.54416667,0.5118835,0.02307775,2.9212905,-0.937,28.96,0,0
2022,311,12.60013889,0.22558275,0.00539575,2.9214285,-2.913,37.725,0,0
2022,312,12.53013889,1.418953,0.02940875,2.92226775,-2.39,40.7675,0,0
2022,306,11.71777778,0.433927,0.01508825,2.9208255,-2.899,31.3825,0,0
2022,311,11.72180556,0.9727025,0.034015,2.9218315,-3.18,34.31,0,0
2022,312,11.6725,1.05261825,0.032729,2.92095075,-3.286,33.63,0,0
