year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
[-],[-],[h],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Mpa],[deg C],[umol m-2 s-1],[Pa]
2022,306,12.07694444,3.00424525,0.09697925,2.92139875,-2.366,31.6075,0,0
2022,311,12.264375,1.37454875,0.05358725,2.9213815,-2.116,32.815,0,0
2022,312,12.22104167,2.031698,0.0548795,2.92187175,-2.299,36.215,0,0
2022,306,11.645,2.371673,0.122316,2.9206585,-2.613,27.4975,0,0
2022,311,11.66458333,2.061449,0.073837,2.92162,-2.348,34.285,0,0
2022,312,11.61069444,2.01221825,0.0671215,2.92148125,-2.301,33.275,0,0
2022,306,11.79131944,2.150533,0.0932835,2.92134725,-2.14,29.2675,0,0
2022,311,11.80805556,1.485965,0.04233825,2.92219425,-1.476,36.47,0,0
2022,312,11.74777778,2.218121,0.058491,2.92178675,-2.4,35.655,0,0
2022,306,11.32652778,0.7290705,0.0311705,2.92066525,-1.9,28.2125,0,0
2022,311,11.38888889,0.607394,0.01450525,2.9219075,-2.375,37.7,0,0
2022,312,11.34291667,0.79152,0.0220745,2.921603,-2.63,34.975,0,0
2022,306,12.69986111,2.897853,0.1181985,2.92083225,-2.262,31.145,0,0
2022,311,12.68261111,2.3040276,0.0619706,2.9218572,-2.255,37.638,0,0
2022,312,12.61972222,4.00406225,0.10104475,2.9221115,-2.27,37.6925,0,0
