drought_only,HW_and_drought_varD_RH60,HW_only_varD_RH60,mean,model,variable
8.74228712934402,4.366844289494018,4.607238772935428,5.905456730591155,std,gs
11.235149869297372,4.711533910050427,4.948933619389214,6.965205799579004,std_gmin,gs
2.166420532163352,2.355588245208704,5.194691222506712,3.2388999999595893,pmax,gs
2.166420532163352,2.0612056860135892,5.194691222506712,3.1407724802278842,pmax_gmin,gs
3.371116179952037,4.6528582180174185,4.887441778396374,4.3038053921219435,std,Ci
3.756609588172274,6.122104077415665,6.241391343177417,5.373368336255119,std_gmin,Ci
1.1037856639345218,4.325025254792035,6.3644807456743875,3.931097221466981,pmax,Ci
1.1037856639345218,4.325025254792035,6.3644807456743875,3.931097221466981,pmax_gmin,Ci
,,,,,
,,,,,
,,,,,
,,,,,
12.62919458550353,3.0174577188419396,3.1336252773690414,6.260092527238171,std,E
16.356517073234365,2.346080550561822,2.452017211861497,7.05153827855256,std_gmin,E
3.3832723966656353,2.1508809367561517,6.239971725884277,3.9247083531020213,pmax,E
3.3832723966656353,2.1508809367561517,6.239971725884277,3.9247083531020213,pmax_gmin,E
4.425363293509729,3.1849254996589287,3.1974797402475446,3.6025895111387345,std,A
4.61327300540862,3.1785448134063614,3.191186955691658,3.661001591502213,std_gmin,A
2.515631906990955,2.920708456631946,3.123985759633364,2.853442041085422,pmax,A
2.515631906990955,2.920708456631946,3.123985759633364,2.853442041085422,pmax_gmin,A
