doy,hod,A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
1,12,20.153440429742354,20.366568309780448,20.18420844700712,20.18420844700712,5.045092462548443,5.548021300585512,5.061977363621324,5.061977363621324,0.42341091369564837,0.4761028755320337,0.4303209636432639,0.4303209636432639,4.64,4.64,4.64,4.64,,0.0015217322827229404,,0.0015219626384883364,32.85422267368575,33.61271250920561,32.93233887077291,32.93233887077291,24.584800039961564,24.503795080829214,24.58138227554878,24.58138227554878,-2.0470409339815556,-2.2238456121508765,-2.0470409339815556,-2.0470409339815556,,,3.14872243563355,3.14872243563355,False,False,False,False,-0.5,-0.5,-0.5,-0.5
2,12,20.153440429742354,20.366568309780448,20.18420844700712,20.18420844700712,5.045092462548443,5.548021300585512,5.061977363621324,5.061977363621324,0.42341091369564837,0.4761028755320337,0.4303209636432639,0.4303209636432639,4.64,4.64,4.64,4.64,,0.0015217322827229404,,0.0015219626384883364,32.85422267368575,33.61271250920561,32.93233887077291,32.93233887077291,24.584800039961564,24.503795080829214,24.58138227554878,24.58138227554878,-2.0470409339815556,-2.2238456121508765,-2.0470409339815556,-2.0470409339815556,,,3.14872243563355,3.14872243563355,False,False,False,False,-0.5,-0.5,-0.5,-0.5
3,12,20.153440429742354,20.366568309780448,20.18420844700712,20.18420844700712,5.045092462548443,5.548021300585512,5.061977363621324,5.061977363621324,0.42341091369564837,0.4761028755320337,0.4303209636432639,0.4303209636432639,4.64,4.64,4.64,4.64,,0.0015217322827229404,,0.0015219626384883364,32.85422267368575,33.61271250920561,32.93233887077291,32.93233887077291,24.584800039961564,24.503795080829214,24.58138227554878,24.58138227554878,-2.0470409339815556,-2.2238456121508765,-2.0470409339815556,-2.0470409339815556,,,3.14872243563355,3.14872243563355,False,False,False,False,-0.5,-0.5,-0.5,-0.5
4,12,20.153440429742354,20.366568309780448,20.18420844700712,20.18420844700712,5.045092462548443,5.548021300585512,5.061977363621324,5.061977363621324,0.42341091369564837,0.4761028755320337,0.4303209636432639,0.4303209636432639,4.64,4.64,4.64,4.64,,0.0015217322827229404,,0.0015219626384883364,32.85422267368575,33.61271250920561,32.93233887077291,32.93233887077291,24.584800039961564,24.503795080829214,24.58138227554878,24.58138227554878,-2.0470409339815556,-2.2238456121508765,-2.0470409339815556,-2.0470409339815556,,,3.14872243563355,3.14872243563355,False,False,False,False,-0.5,-0.5,-0.5,-0.5
5,12,20.153440429742354,20.366568309780448,20.18420844700712,20.18420844700712,5.045092462548443,5.548021300585512,5.061977363621324,5.061977363621324,0.42341091369564837,0.4761028755320337,0.4303209636432639,0.4303209636432639,4.64,4.64,4.64,4.64,,0.0015217322827229404,,0.0015219626384883364,32.85422267368575,33.61271250920561,32.93233887077291,32.93233887077291,24.584800039961564,24.503795080829214,24.58138227554878,24.58138227554878,-2.0470409339815556,-2.2238456121508765,-2.0470409339815556,-2.0470409339815556,,,3.14872243563355,3.14872243563355,False,False,False,False,-0.5,-0.5,-0.5,-0.5
6,12,16.70314184805754,17.197918871700143,17.25296385482923,17.25296385482923,5.2301486702886955,5.996991432647585,6.023905088947705,6.023905088947705,0.3042156345236518,0.35867323869125634,0.3629822159697866,0.3629822159697866,4.64,4.64,4.64,4.64,,0.0016952450488517425,,0.0016938666122115753,31.781490011507177,32.87366155125942,32.91220702715361,32.91220702715361,30.576813038783932,30.4553681102273,30.45085499177937,30.45085499177937,-2.0912421035238857,-2.3564491207778664,-2.3564491207778664,-2.3564491207778664,,,3.066455811636468,3.066455811636468,False,False,False,False,-0.5,-0.5,-0.5,-0.5
7,12,0.5660156229188744,1.1554156974916312,1.5010295834118121,1.5010295834118121,0.34386635255316833,2.411520902123944,6.82636691583487,6.82636691583487,0.007511623010905993,0.05599791311199789,0.1756340856012997,0.1756340856012997,4.64,4.64,4.64,4.64,,0.026744907954566126,,0.024196210352050638,29.023723839479203,37.681642942896275,39.56138253491705,39.56138253491705,46.59139204026382,46.213644058759066,45.4880348211036,45.4880348211036,-0.5884023390846603,-1.2072187126772826,-2.6216561380318475,-2.6216561380318475,,,2.983180239109637,2.983180239109637,True,True,True,True,-0.5,-0.5,-0.5,-0.5
8,12,0.3834846679344213,0.8662834686390253,1.139600834565651,1.139600834565651,0.2417640237854245,2.1464099402041206,6.694180998322569,6.694180998322569,0.004997077974562976,0.04695296944162383,0.16249608583346264,0.16249608583346264,4.64,4.64,4.64,4.64,,0.03160316748168778,,0.02847621752320393,28.811321053324367,38.03850961801075,39.81820570432042,39.81820570432042,47.62891192335506,47.27926438645237,46.52635937398415,46.52635937398415,-0.5884023390846603,-1.1630175431349525,-2.5774549684895174,-2.5774549684895174,,,2.9978710287499357,2.9978710287499357,True,True,True,True,-0.5,-0.5,-0.5,-0.5
9,12,0.2503744473269315,0.6433628606808972,0.8731097961420982,0.8731097961420982,0.16368784937129163,1.9014635817630918,6.9578963736437105,6.9578963736437105,0.0032044673858534897,0.03921858939671986,0.16094168711510143,0.16094168711510143,4.64,4.64,4.64,4.64,,0.037337535953959604,,0.033203737006204305,28.596740046769757,38.37132203607143,40.072181150942406,40.072181150942406,48.663211870303144,48.34289187910055,47.50552299347512,47.50552299347512,-0.5442011695423301,-1.074615204050292,-2.6658573075741776,-2.6658573075741776,,,2.968168035336222,2.968168035336222,True,True,True,True,-0.5,-0.5,-0.5,-0.5
