drought_only,HW_and_drought_varD_RH60,HW_only_varD_RH60,mean,model,variable
-20.380552440576153,-5.987054451149976,-6.923978748945531,-8.640490425279916,std,gs
-30.738162853035288,-8.536574588264246,-9.72784900622237,-12.236900446022087,std_gmin,gs
-3.250295129010018,-1.4841934005194215,-8.689598125563554,-3.253711868656299,pmax,gs
-3.250295129010018,-1.2145995556323053,-8.689598125563554,-3.041210999922888,pmax_gmin,gs
-6.716698784053469,-5.0739595386625815,-5.565822003961946,-5.726796531390491,std,Ci
-7.996408140026185,-11.92414693461681,-12.068717448363286,-10.349068588159009,std_gmin,Ci
-1.1895431732012525,-10.076525203221854,-13.725414676746059,-4.5228575735933605,pmax,Ci
-1.1895431732012525,-10.076525203221854,-13.725414676746059,-4.5228575735933605,pmax_gmin,Ci
,,,,,
,,,,,
,,,,,
,,,,,
-31.601412727915445,-4.175887880662661,-4.391947543361593,-6.617531571209417,std,E
-48.6258646360217,-2.3035236366275607,-2.688999845564577,-4.446267764724049,std_gmin,E
-6.350060959561789,-2.272970778456576,-17.514721446116567,-5.4068187803108,pmax,E
-6.350060959561789,-2.272970778456576,-17.514721446116567,-5.4068187803108,pmax_gmin,E
-7.791283665425917,-9.965467299736325,-10.008537407306772,-9.15326308271967,std,A
-8.268421322095397,-9.707970951339522,-9.771085735725533,-9.204407300035822,std_gmin,A
-4.596062885798601,-8.628027148118187,-9.404922379799968,-6.998797738973353,pmax,A
-4.596062885798601,-8.628027148118187,-9.404922379799968,-6.998797738973353,pmax_gmin,A
