doy,hod,A(std),A(pmax),E(std),E(pmax),gs(std),gs(pmax),gb(std),gb(pmax),Ci(std),Ci(pmax),Tleaf(std),Tleaf(pmax),Pleaf(std),Pleaf(pmax),Rublim(std),Rublim(pmax),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[degC],[degC],[MPa],[MPa],[-],[-],[MPa],[MPa]
20,8.2,15.86987856707744,16.55286976198637,2.3011097588038143,2.717429355409486,0.16210570841102948,0.1927121257681003,4.64,4.64,23.238675299327262,25.11518336938545,15.725677207325587,15.722050238266265,-1.9970197857654277,-2.1258758807428397,True,True,-1.33,-1.33
20,8.283333333,13.111304505869015,13.339605769831117,1.8496146960968938,2.131385974687918,0.16772811937395046,0.1944022729449524,4.64,4.64,26.231476007097374,27.73096410393931,15.732061791935303,15.729596786064524,-1.591816484047341,-1.6717878096797378,False,False,-1.08,-1.08
20,8.383333333,13.992248409644784,14.100358683635573,2.397604195331609,2.515049039473908,0.16096897351700643,0.1691565450482928,4.64,4.64,25.1141750355627,25.67365004599796,15.697387017666639,15.696361503169681,-1.751759135312135,-1.7837476655650937,False,False,-1.08,-1.08
20,8.5,13.967861913759583,14.303193760421742,2.005465372637629,2.3373723551424606,0.15863369678197523,0.18599255896162079,4.64,4.64,24.82078989239782,26.569399622144413,16.005020202278082,16.002075255728705,-1.7613695044864803,-1.8627278872409838,False,False,-1.2,-1.2
20,8.583333332999999,14.000966390713714,14.313245186972171,2.0068387795683766,2.3112978286839976,0.15756737229875747,0.1824594657668016,4.64,4.64,24.95782645524151,26.59054135003103,16.08849484752329,16.08578166491668,-1.7613695044864803,-1.8549310885675605,False,False,-1.2,-1.2
20,9.916666667,15.75996026504155,16.28540295605068,3.575805019645894,3.8666684454127838,0.14804027887279178,0.1605487401976059,4.64,4.64,21.82253191819494,22.604644116633793,25.242188791828553,25.238560971029035,-2.2525678209121507,-2.3461294049932304,True,True,-1.2,-1.2
20,10.0,15.715876862813168,16.299109173657342,3.586871731472995,3.9128590670675374,0.14757552101660437,0.1615099225808705,4.64,4.64,21.762177402062633,22.62951033028958,25.24724681739277,25.24318033995752,-2.2525678209121507,-2.3617230023400775,True,True,-1.2,-1.2
20,10.18333333,16.257038517375367,16.403801245258812,3.972246438790311,4.062278307036231,0.1620954524417559,0.16592019986731738,4.64,4.64,22.67005988031361,22.894359730329338,25.429633070489405,25.428504794049807,-2.231587089106517,-2.2635756193594756,True,True,-1.08,-1.08
20,10.35,14.699403575771033,15.674033895201237,3.237519069034476,3.722351766142908,0.12852729996522405,0.14846239269955827,4.64,4.64,20.47427484015269,21.835914527953545,25.491167502199605,25.48508357349931,-2.2926308271841966,-2.4593857736255536,True,True,-1.33,-1.33
