doy,hod,A(std),A(pmax),E(std),E(pmax),gs(std),gs(pmax),gb(std),gb(pmax),Ci(std),Ci(pmax),Tleaf(std),Tleaf(pmax),Pleaf(std),Pleaf(pmax),Rublim(std),Rublim(pmax),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[degC],[degC],[MPa],[MPa],[-],[-],[MPa],[MPa]
20,8.8,14.403532299149257,14.349711817555802,2.358297653695946,2.198741360876597,0.39702277020336624,0.367917876952329,4.64,4.64,33.132854240056425,32.70296067346052,18.47043999240636,18.472031803736794,-2.034193323273462,-1.9807974452172101,False,False,-1.3,-1.3
20,8.9,14.413259808212201,14.387961529919929,2.3610817355873706,2.2831382753736444,0.3960442344106166,0.3818458734153347,4.64,4.64,33.179618383396694,32.97585271674521,18.465413902424604,18.466191337338817,-2.034193323273462,-2.007495384245336,False,False,-1.3,-1.3
20,9.083333333,14.294286450034315,14.16401587028021,2.8810403536733147,2.5306590269637472,0.3357107761983729,0.29214539549113056,4.64,4.64,32.43728688411562,31.506906451005523,19.71136111181303,19.71503987623864,-2.309559697805902,-2.1909214763529583,False,False,-1.4,-1.4
20,9.15,14.349556275438486,14.24568952722764,2.697057985234188,2.4073684994735682,0.3586416568494739,0.31732658733126257,4.64,4.64,32.493939556863644,31.72565432943908,19.098905339339872,19.101873073451383,-2.243649574776489,-2.1513754025353102,False,False,-1.4,-1.4
20,9.316666667,14.054360522247844,13.974425040893156,3.178887691322024,2.9629251728481685,0.3105821610340893,0.28807478030898415,4.64,4.64,31.814218114269938,31.303294968769503,21.620254710050492,21.622685048058507,-2.1866617528237566,-2.1190821807125406,False,False,-1.2,-1.2
20,9.4,13.983142379047997,13.95201770157398,3.1757159947619256,3.0896712034672773,0.30874969328214774,0.29980818422389577,4.64,4.64,31.768749509746776,31.57188652308399,22.02288467904782,22.02386599237247,-2.1866617528237566,-2.1596299239792702,False,False,-1.2,-1.2
20,10.86666667,19.741292429268587,18.580977221050922,6.711365110129379,5.109523337001705,0.33747130279175164,0.25203395874382867,4.64,4.64,29.461102853585114,27.094685514539783,26.811795765661714,26.832555893227923,-3.5292779088485107,-2.941923250229742,False,False,-1.3,-1.3
20,10.98333333,20.21448714906799,19.33301121807465,5.97971226336666,4.723383934183287,0.3787007739476421,0.2935453901204024,4.64,4.64,30.09585518110271,28.154974626267208,26.346040598882723,26.362146753320875,-3.2489495490531892,-2.8084335550891124,False,False,-1.3,-1.3
20,11.15,19.46886996305507,18.47778197807442,6.239367981023576,4.896016997860468,0.34558941967939577,0.2663866154971412,4.64,4.64,29.70572881458453,27.68124278634265,27.536893167746907,27.55457445291228,-3.4695778631235745,-2.9818429527059167,False,False,-1.4,-1.4
20,11.23333333,19.147518732254827,17.96498567904732,6.614523539975035,5.045829381269047,0.3254799749815423,0.2437215332938965,4.64,4.64,29.271652392625104,26.961999042223233,27.73795797140085,27.75869434510605,-3.6145801337882832,-3.034571051129447,False,True,-1.4,-1.4
20,11.38333333,18.17678220286783,17.20592104107086,6.763006664105255,5.443073862105828,0.29648961464039236,0.23528455320242772,4.64,4.64,29.030290221016525,27.196399767127584,28.902159921755754,28.920008883261765,-3.4166099652478916,-2.943552960469378,False,True,-1.2,-1.2
20,11.46666667,18.58723841243725,17.65234995722257,6.695454090957624,5.404293394399434,0.31063250644641666,0.24711603625355255,4.64,4.64,29.111517019051583,27.31334124293707,28.437843063751966,28.455150412198932,-3.389578136403405,-2.930037046047135,False,True,-1.2,-1.2
20,13.45,15.987450841704968,14.999489750194082,7.1267703053462235,5.823871037804417,0.23132385519764323,0.1870532325915232,4.64,4.64,28.236551852840307,26.525939919112304,30.761037998527335,30.77920723597902,-3.689465543017266,-3.1955536709969374,True,True,-1.3,-1.3
20,13.55,16.111491935841805,15.302170573618728,6.62523856441314,5.563747157194691,0.24594992174320252,0.20452818810452228,4.64,4.64,28.611320280634683,27.174235260225974,30.824839172857597,30.839653791943608,-3.4892310003063223,-3.1021108843984972,True,True,-1.3,-1.3
20,13.68333333,15.55079277688087,14.698396082016334,6.706351237827606,5.597500965141239,0.22842579999211646,0.18886394395170567,4.64,4.64,28.44091979777582,26.935745007211484,31.19986008713848,31.215423070614655,-3.6541262076059313,-3.232301420217687,True,True,-1.4,-1.4
20,13.75,15.172619224378158,14.604866135787104,6.123125068345152,5.3787906940891395,0.23493035711332966,0.20489790863066656,4.64,4.64,28.655685716279667,27.62610759753662,31.57550708992547,31.586008384498317,-3.4300317893059264,-3.153209272582391,True,True,-1.4,-1.4
20,13.93333333,15.36307624231171,14.862293538776056,6.393218522363797,5.7125328580181005,0.23199809342688704,0.20601641186030306,4.64,4.64,28.724404390124782,27.81370450812004,31.459766628185037,31.469355042734342,-3.2814508210254596,-3.038164361425081,True,True,-1.2,-1.2
20,14.0,15.264433254063634,14.907073246112967,6.086948905956282,5.59748372798171,0.23775813696386663,0.21759329883810818,4.64,4.64,28.89883660796986,28.23823057797082,31.601522209027777,31.608430151446267,-3.173323505647513,-2.997616618158351,True,True,-1.2,-1.2
20,15.85,11.465630852338014,11.469733700272691,5.708676825975752,5.712837425940624,0.15626183126891857,0.15637190208785212,4.64,4.64,27.74175588606313,27.75195709355873,33.798601970583995,33.79854166883145,-3.155506762454749,-3.155506762454749,True,True,-1.3,-1.3
