Corrigin_Eucalyptus_capillosa,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.5812693838366414,0.6207961164245012,0.6872004714659624,0.6882987336645765,0.645908920740113,std,gs
0.6968518794937026,0.7112604231806641,0.5705010614015272,0.5904156343369794,0.6451237878407343,pmax,gs
-0.5847821327384077,0.11986140992619865,0.07346894086968181,-0.2552898326486408,-0.1262739302353637,std,Ci
0.2634955986646461,0.34355485672868924,0.29574729270973643,0.14838572881529166,0.2657020199277971,pmax,Ci
,,,,,std,Pleaf
,0.32156480369582197,-0.5112827484981828,-0.0033338578047379386,-0.009156626003167023,pmax,Pleaf
-0.6268849301349233,0.37262890704332263,0.3299833794689935,0.28776704429592725,0.16344945142943335,std,E
0.21144512554090666,0.5717872780219146,-0.013750204738616878,0.042237320785412646,0.23528852063199235,pmax,E
0.6905995848077391,0.33637654766513303,0.40740667487371995,0.6467519836827422,0.535697186422982,std,A
0.7102822569418212,0.34295772366318367,0.3309507182205017,0.5715733921531281,0.5063830511198824,pmax,A
