Corrigin_Eucalyptus_capillosa,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.8236330784957434,0.7998088454417505,0.844191672191698,0.8403692583161712,0.8270007136113406,std,gs
0.8360278372747955,0.8500757203361416,0.8077181308508266,0.7807873398985318,0.8186522570900738,pmax,gs
-0.16321968065322134,0.42649938795656095,0.47778602087756394,0.33343642506573223,0.2686255383116589,std,Ci
0.605738057616693,0.5895835909240535,0.5662944622646919,0.461782153566275,0.5558495660929283,pmax,Ci
,,,,,std,Pleaf
,0.7719983108199653,0.3371812211391157,0.4982074104528724,0.5357956474706511,pmax,Pleaf
0.49088171788145196,0.6806955810350356,0.6316268501867608,0.6201026573865801,0.6058267016224571,std,E
0.4900929517957894,0.7622928198142855,0.345720162506827,0.3380249717156137,0.4840327264581289,pmax,E
0.8589595648314193,0.6143028285036173,0.7127167201028355,0.8777770015280584,0.7659390287414827,std,A
0.8437601060072031,0.6198942363839467,0.685256889933991,0.8835315340546684,0.7581106915949523,pmax,A
