site_spp,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Tleaf,Pleaf
Corrigin_Eucalyptus_capillosa,10.483337217360262,1.6940714638312395,0.106,2.84,19.612464308493905,22.95763034359128,-3.684080301096096,True,-3.3,1836.0,22.73,1.59,98.23,35.362425,306,8.0,8.86,1.69,20.6703,0.106,2.84,23.28,
Corrigin_Eucalyptus_capillosa,2.82438066362648,1.58845056281329,0.128,2.84,31.592476540362604,22.3109038145488,-3.773395826972556,False,-3.4,93.0,22.35,1.28,98.2,35.12633775,306,8.0,9.87,1.62,21.582225,0.128,2.84,21.27,
Corrigin_Eucalyptus_capillosa,11.531880378148426,1.7314761451165426,0.135,2.84,21.311614649607733,22.012254198657228,-3.81423599554768,True,-3.4,1566.0,21.83,1.29,98.2,35.0280525,306,8.0,10.6,1.72,21.27825,0.135,2.84,21.51,
Corrigin_Eucalyptus_capillosa,11.487601912484736,1.746515726014118,0.148,2.84,22.873384122237752,21.61985572030745,-3.696082810505348,False,-3.3,761.0,21.56,1.21,98.22,35.38572975,306,8.0,7.88,1.76,25.73655,0.148,2.84,20.73,
Corrigin_Eucalyptus_capillosa,13.13127558331037,2.7823302141920783,0.214,2.84,24.29073431788983,22.12563965653733,-3.972140526918167,True,-3.3,1844.0,21.92,1.34,98.23,34.37653275,306,8.0,15.4,2.77,21.379575,0.214,2.84,22.34,
Corrigin_Eucalyptus_capillosa,11.794632743881222,2.0004409421178866,0.15,2.84,22.25247842478199,22.244103824867956,-4.01006283994393,True,-3.5,1146.0,22.13,1.36,98.19,34.932807,306,8.0,11.5,2.01,21.379575,0.15,2.84,21.85,
Corrigin_Eucalyptus_capillosa,11.77478551138242,1.9922919005475743,0.143,2.84,21.632792587786184,22.2471743756533,-4.01006283994393,True,-3.5,1891.0,22.02,1.4,98.2,34.8861975,306,8.0,11.7,1.98,20.46765,0.143,2.84,22.11,
Corrigin_Eucalyptus_capillosa,11.594939944070925,3.415778256310844,0.154,2.84,22.84042228736784,25.7239791251012,-4.014202348890497,True,-3.2,1351.0,25.6,2.27,98.12,34.989549,306,10.0,12.9,3.46,19.758375,0.154,2.84,25.9,
Corrigin_Eucalyptus_capillosa,10.578849485531713,2.863786758240504,0.121,2.84,21.00968432401208,25.98890381223834,-3.859997358570327,True,-3.2,1788.0,25.78,2.38,98.13,34.98245625,306,10.0,10.6,2.89,19.150425,0.121,2.84,26.46,
Corrigin_Eucalyptus_capillosa,10.768637941907,2.622538771516361,0.118,2.84,20.929205275364623,25.24138471713322,-3.9301317439857817,True,-3.3,1852.0,25.02,2.23,98.16,35.50529325,306,10.0,11.0,2.64,18.84645,0.118,2.84,25.71,
Corrigin_Eucalyptus_capillosa,10.746437673671736,2.414162876500068,0.122,2.84,21.38918503615544,24.86552521921413,-3.870119196939517,True,-3.3,1002.0,24.78,2.01,98.17,35.47489575,306,10.0,8.57,2.45,22.6968,0.122,2.84,24.56,
Corrigin_Eucalyptus_capillosa,11.577423229884328,2.017259881141578,0.132,2.84,22.01341663710897,23.96773931741385,-3.89008202290148,True,-3.4,1446.0,23.8,1.54,98.17,36.08081925,306,10.0,3.17,2.02,31.2081,0.132,2.84,22.73,
Corrigin_Eucalyptus_capillosa,3.1030875655716703,1.6627275676197208,0.103,2.84,30.971285388102288,23.866524204437205,-3.7967330661583407,False,-3.4,107.0,23.91,1.65,98.17,35.759619,306,10.0,7.65,1.71,22.595475,0.103,2.84,23.26,
Corrigin_Eucalyptus_capillosa,11.039081309068404,3.0273272340332547,0.135,2.84,21.95952436070475,26.33566429729076,-4.044155583373685,True,-3.3,1882.0,26.11,2.26,98.15,35.08580775,306,10.0,10.1,3.03,21.27825,0.135,2.84,25.83,
Corrigin_Eucalyptus_capillosa,11.41331929206035,3.42826995621614,0.15,2.84,22.718770016956604,26.28695278237869,-4.164180677466215,True,-3.3,1535.0,26.13,2.33,98.15,34.98650925,306,10.0,13.0,3.47,19.25175,0.15,2.84,26.16,
Corrigin_Eucalyptus_capillosa,9.818760502494309,2.4118703665114034,0.106,2.84,20.05392696947764,26.268258387269977,-4.13474486748578,True,-3.5,1536.0,26.09,2.28,98.12,34.78993875,306,10.0,10.2,2.43,17.731875,0.106,2.84,25.89,
Corrigin_Eucalyptus_capillosa,8.79733028630616,2.085561536461379,0.0886,2.84,18.98890725797103,27.13495968557396,-4.03839966438526,True,-3.5,1856.0,26.89,2.33,98.11,34.701786,306,10.0,9.06,2.08,16.718625,0.0886,2.84,26.1,
Corrigin_Eucalyptus_capillosa,9.328628293992193,2.837213564918964,0.1,2.84,20.8303569070802,28.37340184064064,-3.85382915895752,True,-3.2,2040.0,28.11,2.82,98.02,35.63093625,306,12.0,10.5,2.85,16.921275,0.1,2.84,28.43,
Corrigin_Eucalyptus_capillosa,9.096702875878782,2.5804001790732185,0.0951,2.84,20.501556072372075,28.08710059836013,-3.785978963216645,True,-3.2,1247.0,27.96,2.72,98.0,35.650188,306,12.0,9.57,2.62,17.63055,0.0951,2.84,27.99,
Corrigin_Eucalyptus_capillosa,9.116934311444956,2.823865659487542,0.0966,2.84,20.769155386963316,28.55333769460833,-3.98414303632742,True,-3.3,1649.0,28.36,2.92,98.05,35.731248,306,12.0,9.05,2.86,18.745125,0.0966,2.84,28.93,
Corrigin_Eucalyptus_capillosa,9.80884075227085,3.2141801561943497,0.113,2.84,21.800003743388643,28.53081940876209,-4.098166875715323,True,-3.3,1843.0,28.31,2.85,98.05,35.629923,306,12.0,9.74,3.24,19.8597,0.113,2.84,28.69,
Corrigin_Eucalyptus_capillosa,6.17035294401067,2.3706551539422485,0.0652,2.84,20.34714343192288,32.2158705303028,-3.9892652894410654,True,-3.4,1245.0,32.08,3.61,98.05,35.208411,306,12.0,6.96,2.42,16.00935,0.0652,2.84,31.67,
Corrigin_Eucalyptus_capillosa,6.730855511883827,3.3188610440924164,0.0851,2.84,22.79563044722201,33.09087401551684,-4.280980779263375,True,-3.4,1540.0,32.92,3.89,98.05,35.29251075,306,12.0,8.81,3.38,16.414649999999998,0.0851,2.84,32.65,
Corrigin_Eucalyptus_capillosa,9.843754632485291,3.1898529740103747,0.129,2.84,23.468865595723138,29.55106753656717,-4.092165621010697,True,-3.3,1124.0,29.45,2.51,98.03,35.6805855,306,12.0,9.46,3.24,22.08885,0.129,2.84,27.24,
Corrigin_Eucalyptus_capillosa,8.377675422915804,2.413991001131391,0.0824,2.84,19.82800811976714,28.500235192541272,-3.870119196939517,True,-3.3,1141.0,28.39,2.93,98.02,35.8710765,306,12.0,9.94,2.46,14.5908,0.0824,2.84,28.92,
Corrigin_Eucalyptus_capillosa,8.007070617284333,2.1110110322702207,0.0742,2.84,18.368309385991758,27.820624346404557,-4.044067029273526,True,-3.5,2073.0,27.54,2.8,98.0,35.3522925,306,12.0,9.47,2.12,13.070925,0.0742,2.84,28.38,
Corrigin_Eucalyptus_capillosa,8.603832538014732,2.192706714536825,0.0862,2.84,19.914767261611303,27.96539293281028,-4.066736488826589,True,-3.5,956.0,27.88,2.55,98.01,35.6805855,306,12.0,6.3,2.23,22.2915,0.0862,2.84,27.24,
Corrigin_Eucalyptus_capillosa,9.332324159712073,3.2591670209365358,0.111,2.84,22.269822256802414,29.211865473235758,-3.971024951600849,True,-3.2,1018.0,29.14,2.97,97.9,35.633976,306,14.0,9.49,3.32,19.8597,0.111,2.84,29.26,
Corrigin_Eucalyptus_capillosa,6.56079069557104,1.9341278874119168,0.0641,2.84,19.795345120836224,29.54280153575071,-3.625605773283669,False,-3.2,485.0,29.54,3.02,97.9,35.83561275,306,14.0,5.1,1.98,21.176925,0.0641,2.84,29.33,
Corrigin_Eucalyptus_capillosa,7.058924673565836,3.1142493121632,0.104,2.84,25.161140400712995,31.03193345104921,-4.068160602192191,False,-3.3,392.0,31.07,3.05,97.94,35.92883175,306,14.0,5.86,3.22,25.027275,0.104,2.84,29.58,
Corrigin_Eucalyptus_capillosa,6.779341193442897,3.522833386042703,0.113,2.84,26.30440863701406,30.76039401619113,-4.194186950989347,False,-3.3,340.0,30.82,3.19,97.94,35.8467585,306,14.0,7.04,3.66,23.811375,0.113,2.84,30.29,
Corrigin_Eucalyptus_capillosa,7.1373291040410045,2.6122844614106544,0.0727,2.84,19.939663650387946,30.729659727094464,-4.059277006998419,True,-3.4,1592.0,30.54,3.56,97.9,35.3685045,306,14.0,8.96,2.65,13.476225,0.0727,2.84,31.54,
Corrigin_Eucalyptus_capillosa,5.737241652745773,3.412631821698327,0.103,2.84,26.924115142931637,30.575874341200304,-4.315986638042052,False,-3.4,267.0,30.65,3.38,97.9,35.7535395,306,14.0,6.63,3.53,23.30475,0.103,2.84,30.81,
Corrigin_Eucalyptus_capillosa,5.749956904711802,1.4033956053849346,0.048,2.84,16.798354508399008,28.85788023011159,-3.6120652446405774,True,-3.3,668.0,28.81,2.9,97.91,35.48300175,306,14.0,6.05,1.44,13.57755,0.048,2.84,28.81,
Corrigin_Eucalyptus_capillosa,6.198482722959163,2.0493978570541973,0.0748,2.84,22.821118476666044,28.55020358461715,-3.774099121665493,False,-3.3,308.0,28.58,2.76,97.91,35.84979825,306,14.0,4.84,2.11,23.811375,0.0748,2.84,28.2,
Corrigin_Eucalyptus_capillosa,7.2769923572709025,2.0522518353622288,0.0652,2.84,18.264527954147784,28.87638121315196,-4.027064934608728,True,-3.5,1746.0,28.65,3.1,97.89,35.76265875,306,14.0,7.54,2.08,15.300075,0.0652,2.84,29.66,
Corrigin_Eucalyptus_capillosa,9.086839347388674,3.123727439962512,0.1,2.84,21.25444788374396,29.104074020064733,-4.372774192792948,True,-3.5,1688.0,28.91,3.12,97.88,35.650188,306,14.0,9.61,3.17,18.2385,0.1,2.84,29.96,
Corrigin_Eucalyptus_capillosa,6.994456532334959,2.4041712158971547,0.0687,2.84,19.74658630063093,30.731121732145585,-3.736633366314191,True,-3.2,1567.0,30.54,3.46,97.88,35.72415525,306,16.0,4.17,2.44,23.9127,0.0687,2.84,31.29,
Corrigin_Eucalyptus_capillosa,5.878711050067508,1.815513710646969,0.0506,2.84,17.963260103813372,30.661311132005512,-3.594764775219635,True,-3.2,1613.0,30.45,3.52,97.84,36.087912,306,16.0,4.07,1.84,21.176925,0.0506,2.84,31.36,
Corrigin_Eucalyptus_capillosa,4.521246501996883,1.2362178866866298,0.0354,2.84,16.207145680974563,30.812140297115818,-3.5760577164128184,True,-3.3,1482.0,30.61,3.41,97.89,36.0494085,306,16.0,3.48,1.26,18.44115,0.0354,2.84,31.32,
Corrigin_Eucalyptus_capillosa,5.2573834387085325,1.57787972027035,0.0502,2.84,19.98725571230753,32.560657454930016,-3.654074027572963,True,-3.3,609.0,32.52,3.12,97.89,36.33007875,306,16.0,2.02,1.62,28.067025,0.0502,2.84,30.16,
Corrigin_Eucalyptus_capillosa,2.763616310221792,2.546259076327525,0.0835,2.84,30.711236721954023,29.3308921287483,-4.041774077609081,False,-3.4,120.0,29.41,3.09,97.84,35.9237655,306,16.0,7.29,2.64,19.961025,0.0835,2.84,30.48,
Corrigin_Eucalyptus_capillosa,7.009744618183589,2.041112574182319,0.0631,2.84,18.536371952793623,29.593352954452712,-3.8959163326979263,True,-3.4,1765.0,29.36,3.18,97.85,35.93491125,306,16.0,6.78,2.07,16.81995,0.0631,2.84,30.75,
Corrigin_Eucalyptus_capillosa,1.2977449861306831,1.6922437479452124,0.0506,2.84,32.18529332453233,30.318006399553635,-3.684080301096096,False,-3.3,75.0,30.39,3.35,97.89,36.1872105,306,16.0,1.96,1.75,27.9657,0.0506,2.84,30.67,
Corrigin_Eucalyptus_capillosa,2.732860980275223,1.2492590664153769,0.0378,2.84,24.882786675089115,30.301219523614147,-3.5760577164128184,False,-3.3,142.0,30.35,3.29,97.88,36.120336,306,16.0,2.17,1.29,24.92595,0.0378,2.84,30.44,
Corrigin_Eucalyptus_capillosa,6.301174364483133,1.9908380719173475,0.0562,2.84,18.179375199840813,30.26361892737717,-4.01006283994393,True,-3.5,1494.0,30.08,3.49,97.86,35.70389025,306,16.0,6.98,2.03,13.7802,0.0562,2.84,31.22,
Corrigin_Eucalyptus_capillosa,5.96871855735233,1.8380796643605837,0.0518,2.84,17.67151617980577,30.24630470173721,-3.964723920837803,True,-3.5,1491.0,30.06,3.49,97.86,35.65728075,306,16.0,6.75,1.87,12.76695,0.0518,2.84,31.25,
Corrigin_Eucalyptus_capillosa,9.678664421801434,1.675841893727877,0.0901,2.84,18.28537609762356,22.586274158284557,-4.980093482783287,True,-4.3,1671.0,22.39,1.84,97.58,35.1982785,45,7.5,14.0,1.68,8.5416975,0.0901,2.84,24.14,
Corrigin_Eucalyptus_capillosa,8.460325067143616,1.2935954130860603,0.0704,2.84,16.409385726852594,22.328269642096718,-4.802489452247524,True,-4.3,1845.0,22.1,1.8,97.57,35.216517,45,7.5,10.3,1.3,10.33515,0.0704,2.84,23.87,
Corrigin_Eucalyptus_capillosa,8.908271016890136,1.506389197584619,0.0775,2.84,17.328349810783287,23.276095308808788,-4.762343816375473,True,-4.2,1815.0,23.05,1.91,97.6,35.36141175,45,7.5,10.1,1.51,12.868275,0.0775,2.84,24.5,
Corrigin_Eucalyptus_capillosa,10.981057179061931,2.2391511594412146,0.116,2.84,20.773106293296465,23.676919160326605,-5.1177451083247725,True,-4.2,1574.0,23.5,1.93,97.61,35.7981225,45,7.5,2.88,2.25,31.106775,0.1159999999999999,2.84,24.57,
Corrigin_Eucalyptus_capillosa,8.529672927333321,1.126603331005173,0.0724,2.84,16.297125022328803,21.33220131342638,-4.85813467861075,True,-4.4,1547.0,21.15,1.53,97.65,34.7605545,45,7.5,9.48,1.13,12.462975,0.0724,2.84,22.37,
Corrigin_Eucalyptus_capillosa,7.422435545778629,0.9270595173203924,0.0586,2.84,14.633204259357026,20.77860547654343,-4.766507742888601,True,-4.4,1528.0,20.6,1.55,97.66,34.40287725,45,7.5,9.59,0.928,6.849569999999999,0.0586,2.84,22.34,
Corrigin_Eucalyptus_capillosa,7.705733551114067,1.019656913108201,0.0728,2.84,17.280481069691827,21.16982053994534,-4.084159159004875,False,-3.8,429.0,21.15,1.4,97.67,33.8729475,45,7.5,8.97,1.04,12.868275,0.0728,2.84,21.55,
Corrigin_Eucalyptus_capillosa,3.3641888507097155,0.5521530475364094,0.0397,2.84,21.26613376836057,21.05303296321176,-3.949829374748024,False,-3.8,124.0,21.07,1.38,97.67,34.41706275,45,7.5,3.66,0.563,18.745125,0.0397,2.84,21.33,
Corrigin_Eucalyptus_capillosa,8.877299840161818,1.3449393546316202,0.0825,2.84,16.793576959883836,21.687074035627155,-4.96225619647683,True,-4.4,1528.0,21.51,1.61,97.64,33.7067745,45,7.5,12.2,1.35,8.5619625,0.0825,2.84,22.81,
Corrigin_Eucalyptus_capillosa,8.232661036266538,1.1125112353442104,0.0715,2.84,15.865180525978442,21.54523309298629,-4.8498049571814645,True,-4.4,1488.0,21.37,1.53,97.64,33.903345,45,7.5,9.14,1.11,12.159,0.0715,2.84,22.29,
Corrigin_Eucalyptus_capillosa,8.347825067172073,2.2372157597834708,0.0773,2.84,18.650032528350764,27.457761020169528,-5.287651682003755,True,-4.3,1807.0,27.23,2.85,97.5,35.5752075,45,9.0,8.21,2.25,16.718625,0.0773,2.84,28.12,
Corrigin_Eucalyptus_capillosa,9.654340665233237,2.540331200302183,0.0924,2.84,20.73645912842657,27.454777938520003,-5.482582935030812,True,-4.3,1815.0,27.23,2.72,97.51,37.1883015,45,9.0,7.01,2.56,21.8862,0.0924,2.84,27.59,
Corrigin_Eucalyptus_capillosa,9.629025793177158,3.2700537295746326,0.11,2.84,21.00605264234131,28.09931414272772,-5.810552690099356,True,-4.2,1979.0,27.86,2.96,97.57,34.872012,45,9.0,10.3,3.28,17.833199999999998,0.11,2.84,28.75,
Corrigin_Eucalyptus_capillosa,9.3024195317931,3.1163460518487054,0.102,2.84,20.59405636305632,28.165291054696564,-5.68458767523125,True,-4.2,1830.0,27.95,3.04,97.56,35.0037345,45,9.0,9.02,3.13,18.84645,0.102,2.84,28.95,
Corrigin_Eucalyptus_capillosa,6.804616560813406,1.5647585597016809,0.0543,2.84,16.25858039680829,26.997618316497235,-5.070542575057553,True,-4.4,1972.0,26.73,2.81,97.58,35.7778575,45,9.0,7.83,1.57,10.9431,0.0543,2.84,27.93,
Corrigin_Eucalyptus_capillosa,7.395952078444999,1.7308103844814011,0.062,2.84,16.970165620542282,26.92793546318011,-5.162169510779703,True,-4.4,1932.0,26.67,2.73,97.58,35.59445925,45,9.0,10.3,1.74,7.194075,0.062,2.84,27.57,
Corrigin_Eucalyptus_capillosa,8.048949425900956,1.846058761190278,0.0701,2.84,17.56790354778724,26.40729870103688,-4.3528187275185735,True,-3.8,1719.0,26.19,2.59,97.61,35.54379675,45,9.0,9.52,1.86,11.95635,0.0701,2.84,27.07,
Corrigin_Eucalyptus_capillosa,8.779803676117185,2.198095404892733,0.0821,2.84,18.682644354027836,26.619029408810167,-4.481981981611698,True,-3.8,1883.0,26.38,2.64,97.61,35.4860415,45,9.0,9.52,2.21,15.19875,0.0821,2.84,27.14,
Corrigin_Eucalyptus_capillosa,9.263898535396066,2.3232924003382904,0.0886,2.84,19.053126508242183,26.08011949816987,-5.532842114382947,True,-4.4,1923.0,25.84,2.59,97.55,35.50428,45,9.0,10.4,2.34,14.894775,0.0886,2.84,27.02,
Corrigin_Eucalyptus_capillosa,8.011219490202912,1.895839361147211,0.0693,2.84,17.43443513352998,26.356867834315917,-5.257961307216497,True,-4.4,2025.0,26.09,2.68,97.55,35.51745225,45,9.0,8.42,1.9,14.286825,0.0693,2.84,27.35,
Corrigin_Eucalyptus_capillosa,3.0340867293214218,2.3962828483402987,0.0403,2.84,23.59102731848856,37.75014989862738,-5.387283211328695,True,-4.3,1033.0,37.67,5.87,97.81,35.2955505,45,10.25,3.39,2.49,18.745125,0.0403,2.84,39.04,
Corrigin_Eucalyptus_capillosa,3.214377119797163,2.5662495877558187,0.0428,2.84,24.306559053769007,37.78953724673981,-5.5042419631449295,True,-4.3,2087.0,37.5,5.85,97.8,35.99367975,45,10.25,1.25,2.63,27.9657,0.0428,2.84,39.02,
Corrigin_Eucalyptus_capillosa,3.399330636440637,2.8763275296023854,0.0487,2.84,24.647823508823187,37.63857022123747,-5.509136404522103,True,-4.2,1082.0,37.56,5.85,97.84,35.5306245,45,10.25,3.23,2.98,21.784875,0.0487,2.84,38.92,
Corrigin_Eucalyptus_capillosa,2.888361167255196,2.1657807537179816,0.0358,2.84,23.081669798348614,37.7917073901965,-5.077256353545739,True,-4.2,2202.0,37.47,5.88,97.84,35.61472425,45,10.25,2.07,2.22,23.203425,0.0358,2.84,39.16,
Corrigin_Eucalyptus_capillosa,2.128778980909504,1.4813590386111974,0.0238,2.84,21.390405083339157,38.23703674564709,-5.028893967911121,True,-4.4,1018.0,38.14,6.1,97.75,35.21753025,45,10.25,2.1,1.54,18.137175,0.0238,2.84,38.62,
Corrigin_Eucalyptus_capillosa,2.569231928302195,2.2846543808959896,0.0342,2.84,23.590149502450927,38.48808901838469,-5.507852950095088,True,-4.4,1984.0,38.22,6.51,97.74,35.24184825,45,10.25,3.26,2.34,16.718625,0.0342,2.84,39.73,
Corrigin_Eucalyptus_capillosa,2.5676521341920155,2.22365882335666,0.0345,2.84,23.878546432717577,38.59465636226607,-4.492315041939149,True,-3.8,1987.0,38.32,6.28,97.81,35.431326,45,10.25,2.63,2.28,20.06235,0.0345,2.84,39.1,
Corrigin_Eucalyptus_capillosa,3.5364671091196183,4.574972445225969,0.0726,2.84,27.956823031475093,38.5334452821706,-5.742615341560596,True,-3.8,1860.0,38.34,6.25,97.81,35.6076315,45,10.25,3.99,4.71,23.406075,0.0726,2.84,39.02,
Corrigin_Eucalyptus_capillosa,3.1637328552775688,2.9905525271093545,0.0475,2.84,25.006702869615538,38.1198019795518,-6.103428032289063,True,-4.4,1810.0,37.9,6.18,97.78,35.38370325,45,10.25,3.85,3.08,19.150425,0.0475,2.84,38.84,
Corrigin_Eucalyptus_capillosa,1.1219206680495186,1.972027315195787,0.0318,2.84,30.2670049807367,38.01334282865469,-5.303774775077572,False,-4.4,81.0,38.12,6.17,97.78,35.735301,45,10.25,1.5,2.07,24.824625,0.0318,2.84,38.81,
Corrigin_Eucalyptus_capillosa,1.81320612835387,2.230125751755799,0.0291,2.84,26.540562240853227,40.80075462041019,-5.283319876380931,True,-4.3,842.0,40.77,7.55,97.68,36.181131,45,12.0,2.48,2.34,18.6438,0.0291,2.84,42.21,
Corrigin_Eucalyptus_capillosa,1.732838341754931,2.27873340155566,0.0289,2.84,27.03594868825373,41.13576730629964,-5.313642515740696,True,-4.3,1416.0,40.99,7.72,97.68,36.31386675,45,12.0,1.52,2.37,23.71005,0.0289,2.84,42.59,
Corrigin_Eucalyptus_capillosa,1.504401392933954,1.3723799927521514,0.0188,2.84,23.95776903767052,40.59211689059491,-4.703860059472424,True,-4.2,1548.0,40.39,7.1,97.73,36.30778725,45,12.0,1.15,1.43,22.798125,0.0188,2.84,42.2,
Corrigin_Eucalyptus_capillosa,2.185281072790173,2.4075865667713225,0.0362,2.84,26.865197978455985,40.16671445364511,-5.212218869475852,True,-4.2,679.0,40.16,6.58,97.73,36.229767,45,12.0,1.56,2.52,25.635225,0.0362,2.84,40.77,
Corrigin_Eucalyptus_capillosa,1.9460697846032635,1.7379440003259592,0.0246,2.84,23.93908239287097,39.65257868562575,-4.865815078588561,True,-4.2,1160.0,39.54,6.92,97.72,36.16795875,45,12.0,3.31,1.81,11.3484,0.0246,2.84,41.24,
Corrigin_Eucalyptus_capillosa,0.9195212757563238,0.8374360770481822,0.0102,2.84,22.4120739769688,41.48324978042166,-4.729023996456812,True,-4.4,2026.0,41.18,7.92,97.66,36.278403,45,12.0,0.28,0.8690000000000001,27.459075,0.0102,2.84,43.1,
