doy,hod,A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
1,12,19.90537126465255,20.181756830405252,19.293029624978054,19.293029624978054,5.48267881554627,6.119225474120882,4.453989679840156,4.453989679840156,0.3739173216767968,0.42698303610733357,0.29530129743671746,0.29530129743671746,4.64,4.64,4.64,4.64,,0.0015208941638485,,0.0015269532652210187,31.96767251192114,32.90652940469478,30.02843808944999,30.02843808944999,24.593401058943062,24.49251547355099,24.760939137154498,24.760939137154498,-3.185535041465158,-3.4236063803271795,-2.828428033172127,-2.828428033172127,,,2.910219706648964,2.910219706648964,False,False,False,False,-1.4,-1.4,-1.4,-1.4
2,12,19.890990327554753,20.17181823940415,18.826504405374447,18.826504405374447,5.427007680726098,6.065009446701885,3.896048518875459,3.896048518875459,0.36956474130686223,0.42254626453025707,0.2535372222663124,0.2535372222663124,4.64,4.64,4.64,4.64,,0.0015183471778182976,,0.0015267545426518759,31.874967792206036,32.831956402854686,28.65704505120543,28.65704505120543,24.50158834687636,24.400249926770424,24.75380055947908,24.75380055947908,-3.7954656768095916,-4.055627632450124,-3.200809778202661,-3.200809778202661,,,2.7618676479139124,2.7618676479139124,False,False,False,False,-1.9,-1.9,-1.9,-1.9
3,12,19.868435180438684,20.155091917733998,18.520878380014377,18.520878380014377,5.38200588269656,6.0222614702298625,3.620225021514587,3.620225021514587,0.3659223713465335,0.41892692260632164,0.2333757696501156,0.2333757696501156,4.64,4.64,4.64,4.64,,0.0015185416131888593,,0.0015280612527087455,31.800403314787644,32.77334175567386,27.850404664776388,27.850404664776388,24.508822713733853,24.406967265918954,24.80072360669065,24.80072360669065,-4.303888774465582,-4.5851363217589975,-3.565613962820368,-3.565613962820368,,,2.5971611779625117,2.5971611779625117,False,False,False,False,-2.3,-2.3,-2.3,-2.3
4,12,19.851356803002005,20.142459779362902,17.890753314266103,17.890753314266103,5.348474525975015,5.990417300511649,3.164621641003908,3.164621641003908,0.36321579295801937,0.416237880743107,0.20085887324384435,0.20085887324384435,4.64,4.64,4.64,4.64,,0.001518686461841668,,0.0015302486846949265,31.744166832591958,32.729211680857354,26.31777723842899,26.31777723842899,24.514220574555484,24.41197792322541,24.87918303000898,24.87918303000898,-4.719849560563786,-5.056333617796131,-3.7440457945899794,-3.7440457945899794,,,2.51043492742267,2.51043492742267,False,False,False,False,-2.6,-2.6,-2.6,-2.6
5,12,19.839893479173508,20.133996646237563,17.855526626913065,17.855526626913065,5.326224634962862,5.969290718949564,3.140130824591435,3.140130824591435,0.36142330309617865,0.41445721043040423,0.19913822583324955,0.19913822583324955,4.64,4.64,4.64,4.64,,0.001518782563574922,,0.001530367294252735,31.706526753815407,32.6997115695461,26.2371128398505,26.2371128398505,24.517805862452352,24.415305342901178,24.883434144689264,24.883434144689264,-5.019749880637244,-5.378827067210917,-3.9751617015138354,-3.9751617015138354,,,2.392906058392572,2.392906058392572,False,False,False,False,-2.8,-2.8,-2.8,-2.8
6,12,19.828367595367975,20.125500091770775,17.37973698753445,17.37973698753445,5.304057963606859,5.948246191887333,2.8752282193642626,2.8752282193642626,0.3596402656699117,0.4126860967031787,0.18070221704715964,0.18070221704715964,4.64,4.64,4.64,4.64,,0.0015188782950953687,,0.0015316569098371387,31.668767418548754,32.670147698561884,25.188463204680076,25.188463204680076,24.52138052631542,24.41862235074099,24.929634323270193,24.929634323270193,-5.341238304926401,-5.75253692606212,-4.107342441519244,-4.107342441519244,,,2.3233815541998895,2.3233815541998895,False,False,False,False,-3.0,-3.0,-3.0,-3.0
7,12,19.79927709184461,20.104112180000314,16.65543722890285,16.65543722890285,5.249003909584596,5.895992518222362,2.5382573675582702,2.5382573675582702,0.35522366845759196,0.4082997719323702,0.15770827471336366,0.15770827471336366,4.64,4.64,4.64,4.64,,0.0015191160099732714,,0.0015333150678313319,31.57384746069127,32.59596073090675,23.7364785296273,23.7364785296273,24.530270736680386,24.4268693388325,24.988980318638713,24.988980318638713,-6.296076095159172,-6.965969326291058,-4.5776543283425974,-4.5776543283425974,,,2.0656695601265684,2.0656695601265684,False,False,False,False,-3.5,-3.5,-3.5,-3.5
8,12,19.769788565120678,20.082514369546313,15.940730515323741,15.940730515323741,5.194465081171199,5.844247184558995,2.2711753298827526,2.2711753298827526,0.3508649615902388,0.4039720137728662,0.13984111307510091,0.13984111307510091,4.64,4.64,4.64,4.64,,0.0015193514303133116,,0.001534643396279947,31.478182658364133,32.52138086001505,22.445815112851925,22.445815112851925,24.53909465872568,24.435051328138517,25.036475330523434,25.036475330523434,-7.832305097512627,-9.296032738923701,-5.091142423597345,-5.091142423597345,,,1.7742799346873854,1.7742799346873854,False,False,False,False,-4.0,-4.0,-4.0,-4.0
9,12,19.739896909573552,20.060705953706215,14.996762421991475,14.996762421991475,5.140437929689048,5.793006937888932,1.990451834913855,1.990451834913855,0.34656330943205665,0.3997020051010464,0.12139644832912774,0.12139644832912774,4.64,4.64,4.64,4.64,,0.0015195845700949325,,0.0015360529851353392,31.381773548266548,32.44641221918444,20.91313896106197,20.91313896106197,24.547852390758962,24.443168387803187,25.086830908587622,25.086830908587622,-9.296032738923701,-9.296032738923701,-5.608630683369298,-5.608630683369298,,,1.4822750600850103,1.4822750600850103,False,False,True,True,-4.5,-4.5,-4.5,-4.5
