site_spp,A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std_gmin),gmin(pmax_gmin),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(pmax),k(pmax_gmin),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps,Tair,VPD,Psie,doy,hod,A,E,Ci,gs,gb,Tleaf
drought_only,19.90537126465255,20.18175683040525,19.29302962497805,19.29302962497805,5.48267881554627,6.119225474120883,4.453989679840157,4.453989679840157,0.3739173216767968,0.4269830361073336,0.29530129743671746,0.29530129743671746,4.64,4.64,4.64,4.64,0.0015208941638485,0.0015269532652210187,31.96767251192114,32.90652940469478,30.02843808944999,30.02843808944999,24.593401058943066,24.492515473550988,24.760939137154498,24.760939137154498,-3.1855350414651586,-3.4236063803271795,-2.828428033172127,-2.828428033172127,2.910219706648964,2.910219706648964,False,False,False,False,-1.4,24.1,1.5,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
drought_only,19.890990327554753,20.17181823940415,18.826504405374447,18.826504405374447,5.427007680726097,6.065009446701884,3.896048518875459,3.896048518875459,0.36956474130686223,0.42254626453025707,0.2535372222663124,0.2535372222663124,4.64,4.64,4.64,4.64,0.0015183471778182974,0.001526754542651876,31.87496779220604,32.83195640285469,28.65704505120543,28.65704505120543,24.50158834687636,24.400249926770424,24.753800559479078,24.753800559479078,-3.795465676809592,-4.055627632450124,-3.2008097782026614,-3.2008097782026614,2.7618676479139124,2.7618676479139124,False,False,False,False,-1.9,24.0,1.5,-0.0013333210000000002,2,12,13.3,3.21,21.27825,0.184,2.84,21.04
drought_only,19.868435180438684,20.155091917734,18.520878380014373,18.520878380014373,5.38200588269656,6.022261470229863,3.620225021514587,3.620225021514587,0.3659223713465335,0.4189269226063216,0.2333757696501156,0.2333757696501156,4.64,4.64,4.64,4.64,0.0015185416131888593,0.0015280612527087455,31.800403314787644,32.77334175567386,27.85040466477639,27.85040466477639,24.50882271373385,24.40696726591895,24.80072360669065,24.80072360669065,-4.303888774465582,-4.5851363217589975,-3.5656139628203682,-3.5656139628203682,2.597161177962512,2.597161177962512,False,False,False,False,-2.3,24.0,1.5,-0.0013333210000000002,3,12,12.2,2.61,10.74045,0.086,2.84,29.04
drought_only,19.851356803002005,20.14245977936291,17.890753314266103,17.890753314266103,5.348474525975014,5.990417300511648,3.164621641003908,3.164621641003908,0.36321579295801937,0.416237880743107,0.20085887324384435,0.20085887324384435,4.64,4.64,4.64,4.64,0.001518686461841668,0.0015302486846949265,31.74416683259196,32.729211680857354,26.317777238428988,26.317777238428988,24.514220574555484,24.41197792322541,24.879183030008978,24.879183030008978,-4.7198495605637865,-5.056333617796131,-3.744045794589979,-3.744045794589979,2.51043492742267,2.51043492742267,False,False,False,False,-2.6,24.0,1.5,-0.0013333210000000002,4,12,6.59,2.38,20.366325,0.0807,2.84,29.29
drought_only,19.839893479173508,20.133996646237566,17.855526626913065,17.855526626913065,5.326224634962862,5.969290718949564,3.140130824591435,3.140130824591435,0.36142330309617865,0.4144572104304042,0.19913822583324955,0.19913822583324955,4.64,4.64,4.64,4.64,0.0015187825635749222,0.001530367294252735,31.706526753815414,32.6997115695461,26.237112839850504,26.237112839850504,24.51780586245235,24.415305342901178,24.883434144689264,24.883434144689264,-5.019749880637244,-5.378827067210917,-3.9751617015138354,-3.9751617015138354,2.3929060583925716,2.3929060583925716,False,False,False,False,-2.8,24.0,1.5,-0.0013333210000000002,5,12,3.25,1.9,25.432575,0.0618,2.84,29.72
drought_only,19.828367595367972,20.125500091770775,17.37973698753445,17.37973698753445,5.3040579636068586,5.948246191887332,2.875228219364262,2.875228219364262,0.3596402656699117,0.4126860967031787,0.18070221704715966,0.18070221704715966,4.64,4.64,4.64,4.64,0.0015188782950953687,0.0015316569098371387,31.668767418548757,32.67014769856189,25.18846320468008,25.18846320468008,24.521380526315422,24.41862235074099,24.929634323270196,24.929634323270196,-5.341238304926401,-5.75253692606212,-4.107342441519243,-4.107342441519243,2.323381554199889,2.323381554199889,False,False,False,False,-3.0,24.0,1.5,-0.0013333210000000002,6,12,8.86,1.69,20.6703,0.106,2.84,23.28
drought_only,19.79927709184461,20.104112180000318,16.65543722890285,16.65543722890285,5.249003909584597,5.895992518222362,2.5382573675582702,2.5382573675582702,0.355223668457592,0.4082997719323702,0.15770827471336366,0.15770827471336366,4.64,4.64,4.64,4.64,0.0015191160099732714,0.001533315067831332,31.573847460691272,32.59596073090675,23.7364785296273,23.7364785296273,24.53027073668039,24.426869338832503,24.988980318638717,24.988980318638717,-6.296076095159173,-6.9659693262910585,-4.577654328342597,-4.577654328342597,2.0656695601265684,2.0656695601265684,False,False,False,False,-3.5,24.0,1.5,-0.0013333210000000002,7,12,15.4,2.77,21.379575,0.214,2.84,22.34
drought_only,19.76978856512068,20.082514369546317,15.94073051532374,15.94073051532374,5.194465081171199,5.844247184558995,2.2711753298827526,2.2711753298827526,0.3508649615902388,0.4039720137728662,0.13984111307510091,0.13984111307510091,4.64,4.64,4.64,4.64,0.0015193514303133116,0.001534643396279947,31.47818265836413,32.52138086001505,22.445815112851925,22.445815112851925,24.53909465872568,24.435051328138517,25.036475330523434,25.036475330523434,-7.832305097512628,-9.2960327389237,-5.091142423597344,-5.091142423597344,1.7742799346873854,1.7742799346873854,False,False,False,False,-4.0,24.0,1.5,-0.0013333210000000002,8,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,19.73989690957355,20.06070595370621,14.996762421991475,14.996762421991475,5.140437929689048,5.793006937888932,1.990451834913855,1.990451834913855,0.34656330943205665,0.3997020051010464,0.12139644832912776,0.12139644832912776,4.64,4.64,4.64,4.64,0.0015195845700949325,0.0015360529851353392,31.381773548266548,32.44641221918444,20.913138961061968,20.913138961061968,24.547852390758962,24.44316838780319,25.086830908587622,25.086830908587622,-9.2960327389237,-9.2960327389237,-5.608630683369298,-5.608630683369298,1.4822750600850103,1.4822750600850103,False,False,True,True,-4.5,24.0,1.5,-0.0013333210000000002,9,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,19.709596941075755,20.0386862425598,13.156779902583047,13.156779902583047,5.086918864071474,5.742268493602919,1.563114094646438,1.563114094646438,0.34231788704664834,0.39548893986411,0.09396547642868726,0.09396547642868726,4.64,4.64,4.64,4.64,0.0015198154434627295,0.0015382251357305664,31.28462082026392,32.37105906065979,18.33176553099651,18.33176553099651,24.556544046771485,24.451220600082568,25.16433753334709,25.16433753334709,-9.2960327389237,-9.2960327389237,-6.014640898137759,-6.014640898137759,1.262159654535708,1.262159654535708,False,False,True,True,-5.0,24.0,1.5,-0.0013333210000000002,10,12,10.9,3.0,23.811375,0.183,2.84,20.32
