site_spp,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),PPFD,VPD,Patm,Tref,Ps,Tair,CO2,doy,hod,E,gs,gb,Pleaf,Tleaf
E_crebra_HW2,2.1619251545543747,15.800964364369811,20.494685712918837,21.892638423865446,22.4740247826162,22.762386015356952,0.3427918017577142,3.1877143425112813,5.922887422633328,8.305292045586826,10.471598623404848,12.424357203728066,0.01,0.1,0.2,0.3,0.4,0.5,2.92139875,2.92139875,2.92139875,2.92139875,2.92139875,2.92139875,11.388832971084266,19.902157948945177,28.43485884867878,33.017433046412435,35.644196446167165,37.310234104421255,26.041742281510786,25.269631897539067,24.580653922775728,24.023285963092107,23.550173460285748,23.150274958845486,-1.2272517676406405,-1.7223917925860848,-2.2175318175315293,-2.654420074836332,-3.062182448320816,-3.469944821805299,True,False,False,False,False,False,1173.0,3.10358225,100.2925,29.225,-1.169,24.23,45.532795,306,12.07694444,3.00424525,0.09697925,2.92139875,-2.366,31.6075
E_crebra_HW2,1.8838121188838208,7.2791100406340625,8.110553353363901,8.407203210263972,8.60564314647059,8.795199290061243,0.27071252176736804,2.4231861113153714,4.348233855536547,6.106491987422569,7.628224064460282,8.837242311579198,0.01,0.1,0.2,0.3,0.4,0.5,2.9213815,2.9213815,2.9213815,2.9213815,2.9213815,2.9213815,15.31537745799202,33.54587473249602,38.67445058268104,40.648426157686146,41.677484274248904,42.30577662861587,40.43720073347696,39.90326290759818,39.49524983610113,39.173373054169204,38.9313059615797,38.76732012763146,-0.435975130051476,-0.8316766906691881,-1.1614279911839482,-1.4911792916987086,-1.7549803321105166,-1.952831112419373,False,False,False,False,False,False,310.0,2.55984725,101.8575,35.6225,-0.40299999999999997,39.92,45.530302500000005,311,12.264375,1.37454875,0.05358725,2.9213815,-2.116,32.815
E_crebra_HW2,2.3206860956918964,14.054342852251274,17.978765046845734,19.84904240194151,21.024558731524092,21.85212761865778,0.4258526760497445,3.840609280625425,6.941653529529471,9.607102949409189,11.972558754733912,14.112007383105857,0.01,0.1,0.2,0.3,0.4,0.5,2.92187175,2.92187175,2.92187175,2.92187175,2.92187175,2.92187175,14.405624827396965,28.425651930764108,36.373421013369175,40.0811175353154,42.18698523918177,43.550814770782054,38.25695757901252,37.34484235548418,36.61550205292351,36.062896565420616,35.62585606829595,35.269842345235354,-0.7896939786959168,-1.4166337656550854,-1.9495325845703784,-2.4510844141377133,-2.8899422650091315,-3.2974531265325906,True,False,False,False,False,False,1049.25,3.7484835,101.765,35.355,-0.727,36.55,51.594854999999995,312,12.22104167,2.031698,0.0548795,2.92187175,-2.299,36.215
E_crebra_HW2,2.353081634112932,14.460693998560467,16.728082046042378,17.381041476623828,17.676028467668406,17.84843423391622,0.21190284018483452,1.971657235984192,3.6636805518510593,5.135596010195901,6.499618393003316,7.714342930288676,0.01,0.1,0.2,0.3,0.4,0.5,2.9206585,2.9206585,2.9206585,2.9206585,2.9206585,2.9206585,12.178725737847786,25.887257432095247,35.383870937094436,39.40242187394523,41.5539950364959,42.88283485667528,25.62439040033495,25.15823659290655,24.74396022865193,24.410609880734402,24.122799571352786,23.883433453624573,-0.5563670898504711,-0.8800379883551809,-1.1713417970094198,-1.430278515813188,-1.6568481447664851,-1.8834177737197817,True,False,False,False,False,False,604.0,1.97385175,100.265,28.55,-0.524,24.8,49.33038,306,11.645,2.371673,0.12231600000000001,2.9206585,-2.613,27.4975
E_crebra_HW2,2.4893055837248066,11.337527203808813,13.330346865263948,14.456768132313615,14.946702538256336,15.400564200493154,0.3289684728149848,2.944833739661072,5.284906209735516,7.200431973106912,9.068614420333247,10.677447392328336,0.01,0.1,0.2,0.3,0.4,0.5,2.92162,2.92162,2.92162,2.92162,2.92162,2.92162,16.410813675269736,37.65065637026346,45.06840185854908,48.00558462951477,49.66734400211687,50.687445952281024,40.47414060214869,39.7777151514504,39.237008255967076,38.85223212705925,38.51973404240911,38.26608543145461,-0.2996688530677761,-0.7395163980083209,-1.179363942948866,-1.5177082082877469,-1.8222180470927396,-2.126727885897732,True,False,False,False,False,False,702.75,2.8702520000000002,101.93,35.7325,-0.23199999999999998,39.22,56.367290000000004,311,11.66458333,2.061449,0.073837,2.92162,-2.3480000000000003,34.285
E_crebra_HW2,2.149626646212534,12.449847992082688,15.118880418960053,16.178552563873392,16.829601882297958,17.27068592622745,0.3330220246875754,3.0132609244847037,5.460298129034326,7.614558912744477,9.510817055216343,11.230149375026867,0.01,0.1,0.2,0.3,0.4,0.5,2.92148125,2.92148125,2.92148125,2.92148125,2.92148125,2.92148125,14.09877184524003,28.053817330846964,35.7710609859401,39.168866872883896,41.026711414948906,42.20375492285589,37.120619527457606,36.425139112530545,35.867039987930845,35.433953913209585,35.09458021094658,34.81734999940532,-0.6105130741733038,-1.0621045933864304,-1.5136961125995567,-1.90077455763938,-2.2233399285058986,-2.545905299372418,True,False,False,False,False,False,672.5,3.0529105,101.795,34.38,-0.546,36.09,48.556215,312,11.61069444,2.01221825,0.0671215,2.92148125,-2.301,33.275
E_crebra_HW2,2.3758645856683174,15.580274058340812,18.481337261051127,19.294700411968837,19.652412966715367,19.85232017024341,0.2499943721819821,2.324744824752807,4.3180783882358815,6.051661347379409,7.65534726111536,9.085276372720283,0.01,0.1,0.2,0.3,0.4,0.5,2.92134725,2.92134725,2.92134725,2.92134725,2.92134725,2.92134725,11.920347961244696,24.173510075104065,34.02492969296734,38.41234957787847,40.78930160611947,42.2641252240639,25.949995617022605,25.399007527312875,24.909843002214608,24.516431400215005,24.17751456089505,23.895321491208787,-0.6180555320615262,-1.0027219167998416,-1.3553327694766304,-1.643832558030367,-1.9323323465841036,-2.188776603076313,True,False,False,False,False,False,722.0,2.31937375,100.275,29.405,-0.586,24.94,49.435575,306,11.79131944,2.1505330000000002,0.0932835,2.92134725,-2.14,29.2675
E_crebra_HW2,2.3218085364662184,10.501535530671644,12.902668376322888,14.464458900641125,15.232933057868586,16.135722654712705,0.4175541792861977,3.721186190559164,6.654699919007835,9.044163776532288,11.331183548351698,13.161223429875953,0.01,0.1,0.2,0.3,0.4,0.5,2.92219425,2.92219425,2.92219425,2.92219425,2.92219425,2.92219425,16.649281272318646,36.54996768379646,42.962651370440035,45.55054306565604,47.08159029855271,48.000619955864074,41.846079152112274,40.952766829599625,40.26577420786876,39.78025363240996,39.37072976270787,39.08353441363034,-0.8995784008064696,-1.4845732084679308,-2.007989615322922,-2.43903842096821,-2.8700872266134976,-3.239557631452316,True,False,False,False,False,False,986.0,3.540786,101.9175,36.2375,-0.838,40.09,53.914357499999994,311,11.80805556,1.485965,0.04233825,2.92219425,-1.476,36.47
E_crebra_HW2,1.955362405514504,11.74112224788721,15.46337696567817,17.745035215633443,19.156933292265386,20.182864133019446,0.454452850855233,4.049818670319151,7.376976248008192,10.095879551287434,12.542259950360483,14.744799472252105,0.01,0.1,0.2,0.3,0.4,0.5,2.92178675,2.92178675,2.92178675,2.92178675,2.92178675,2.92178675,14.157923104458694,26.19434914973336,32.35724186204565,35.20872533914629,36.936948821683934,38.07751717536188,38.991437196843506,37.98998475552339,37.17119497045449,36.57739674686758,36.09979328722983,35.711687591553066,-0.7501263951795537,-1.3843023630432447,-1.9550607341205668,-2.4624015084115203,-2.9063246859161036,-3.350247863420688,True,False,False,False,False,False,1383.5,3.7787879999999996,101.8025,34.6325,-0.655,36.58,45.505717499999996,312,11.74777778,2.218121,0.058490999999999994,2.92178675,-2.4,35.655
E_crebra_HW2,2.2440067012541247,15.631890090949428,19.776170616023,21.08019266256429,21.67457362383492,22.000378177415215,0.26948301692412546,2.5024337718247134,4.641715179311212,6.4973328696238974,8.12656881266278,9.571799635250617,0.01,0.1,0.2,0.3,0.4,0.5,2.92066525,2.92066525,2.92066525,2.92066525,2.92066525,2.92066525,13.399695082373276,23.478408823834855,32.33533585996618,36.78499239126703,39.29169213832217,40.8811469959904,26.65296630588529,26.02968403383579,25.475283197997356,25.02847886632244,24.66229673020502,24.35781166216809,-0.9362065415099872,-1.3034457905699104,-1.7012883103848273,-2.037924288689757,-2.313353725484699,-2.5887831622796416,True,False,False,False,False,False,1111.75,2.34838125,100.2775,25.8475,-0.875,24.81,48.835142499999996,306,11.32652778,0.7290705,0.031170499999999997,2.92066525,-1.9,28.2125
