Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.9893203157789346,0.9890566616961438,0.9715397835299423,0.9833055870016736,obs,Tleaf
0.9869753802796187,0.9853640796426628,0.9658610253669021,0.9794001617630612,std,Tleaf
0.9877824080719211,0.9836740759396636,0.963195166010932,0.9782172166741723,pmax,Tleaf
0.6229274210673218,0.5615302129012532,0.457582158985786,0.5473465976514537,obs,Ci
0.4319567411566514,0.4708472780127654,0.32365843591796345,0.40882081836246004,std,Ci
0.5986822882831451,0.5687286687105995,0.4720278953872139,0.5464796174603195,pmax,Ci
0.701213742197958,0.6484219569026305,0.49140638559194305,0.6136806948975105,obs,Pleaf
,,,,std,Pleaf
0.7907359395133701,0.4074668084870688,0.5165722799303909,0.5715916759769433,pmax,Pleaf
0.9908460509419609,0.9960262730725763,0.9966351698829764,0.9945024979658378,obs,E
0.6583618357463604,0.6512179152860706,0.6717563831300849,0.660445378054172,std,E
0.755495529745914,0.4022929824764233,0.4247238565577169,0.5275041229266848,pmax,E
0.7025465222859659,0.8734086693256774,0.9621643033027731,0.8460398316381389,obs,A
0.6600050965130058,0.734063932150366,0.8804073175530611,0.7581587820721443,std,A
0.6575319968940649,0.7086335949383706,0.8865441376605728,0.7509032431643362,pmax,A
