Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
1.0299218716699285,0.8771568080770126,1.1354838599690185,1.0141875132386533,obs,Tleaf
1.0862009486084312,0.891159242171457,1.319118735115917,1.0988263086319352,std,Tleaf
1.0714411654767686,0.9635507156558172,1.3200201348636031,1.1183373386653963,pmax,Tleaf
1.4825075516268231,1.3693195719902373,0.9799850454244788,1.2772707230138465,obs,Ci
1.6818895037101251,1.2706809756936954,1.0200418608990252,1.3242041134342817,std,Ci
1.3867944713859206,1.1398843343591825,0.8462859781222349,1.1243215946224459,pmax,Ci
1.077406374559197,1.1270704585241154,1.1062390338514938,1.1035719556449353,obs,Pleaf
,,,,std,Pleaf
0.9466500288992428,1.6168900861444355,0.989338027982355,1.1842927143420112,pmax,Pleaf
0.3809416183812729,0.28795912652279587,0.2699327285067553,0.31294449113694134,obs,E
1.0211712228920111,1.2712755353008434,1.3527867678169951,1.215077842003283,std,E
0.8704971468955166,1.6713463812035496,1.7041645338151103,1.415336020638059,pmax,E
1.6540040312330615,0.8264291912279438,0.6564566655783596,1.0456299626797882,obs,A
1.7499918507965864,1.099043197898116,1.2050810208538534,1.3513720231828519,std,A
1.7810031291258275,1.2293391330592902,1.3672582409830303,1.459200167722716,pmax,A
