Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
91.24694675691204,88.13147455739815,134.51566587133124,104.6313623952138,obs,Tleaf
102.19484800311497,109.30678301494157,149.08167610869108,120.19443570891588,std,Tleaf
95.41204469165207,117.44910949067594,147.15843254378152,120.00652890870317,pmax,Tleaf
179.75040557149015,274.8174728354722,286.7913939742262,247.11975746039616,obs,Ci
208.61454227030896,252.65741014768375,284.4241323519861,248.56536158999293,std,Ci
180.66148150275507,224.20400973083423,247.1010864658809,217.3221925664901,pmax,Ci
-118.88292783225572,-138.29794994310703,-88.85400634480472,-115.34496137338915,obs,Pleaf
,,,,std,Pleaf
-146.91427396235787,-66.03841097999043,-111.43004418274211,-108.12757637503013,pmax,Pleaf
-157.43051116433674,-163.49990692440514,-137.03578538884778,-152.65540115919654,obs,E
53.488894222136764,133.09852152216698,115.96644692726747,100.8512875571904,std,E
14.016785228387723,173.68765559112782,136.90045010947105,108.2016303096622,pmax,E
307.28607380483527,284.0159312225045,186.76589866496116,259.35596789743363,obs,A
319.67050823711975,345.54097716458017,261.44140626120156,308.8842972209672,std,A
317.65854325908293,356.88980992209713,275.53527428360775,316.69454248826264,pmax,A
