site_spp,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,14.316054892800189,14.403978035048564,14.270809407366533,2.329799294215724,2.4159618181393694,2.0786521707445216,0.38075,0.3970350565854735,0.3345566926098775,4.64,4.64,4.64,32.92642007755319,33.13285424005813,32.09428585164396,18.590843989526814,18.57710168395988,18.63133179763545,-2.023259242716717,-2.0634403117565343,-1.942897104637081,False,False,False,-1.3,499.75,18.4625,0.64825,100.7,39.29206181,20,8.8,14.3,2.31,32.3733375,0.38075,4.64,-1.9,19.625
Richmond_Eucalyptus_cladocalyx,14.324605329361304,14.413779538184485,14.382022662714984,2.3292039563099016,2.418450815034225,2.3328927208026773,0.37925,0.3960585154311291,0.38079858106759307,4.64,4.64,4.64,32.964199054878264,33.1796183833983,32.925688034363105,18.586026875243572,18.571790544399843,18.585417489233663,-2.023259242716717,-2.0634403117565343,-2.023259242716717,False,False,False,-1.3,500.0,18.4575,0.6505,100.7,39.35716313,20,8.9,14.325,2.31,32.44933125,0.37925,4.64,-2.0,19.8625
Richmond_Eucalyptus_cladocalyx,12.263704615795868,14.293338079885258,14.202018689706746,1.1511640312366131,2.890546092034136,2.662165438008329,0.1225,0.33568850309786,0.3058452236427175,4.64,4.64,4.64,23.399439741362038,32.43728688411819,31.7908826168033,20.01303102375252,19.72873792439734,19.764676027264127,-1.7571070082930316,-2.312606798971081,-2.233249686017074,False,False,False,-1.4,500.0,19.71,0.9265,100.7,39.58945069,20,9.08333333333333,9.275,1.12,26.52181875,0.1225,4.64,-2.5,21.675
Richmond_Eucalyptus_cladocalyx,13.961042963636816,14.348363058279707,14.277844372033211,2.0885578595947,2.723565261769173,2.5389050530908017,0.26525,0.3586118345071944,0.3312603836764442,4.64,4.64,4.64,30.509216403458204,32.49393955686723,31.97407317167728,19.251942143399464,19.150261091902976,19.179458009150192,-2.0348569036320563,-2.233249686017074,-2.1935711295400706,False,False,False,-1.4,501.75,19.095,0.81525,100.7,39.24165263,20,9.15,15.075,2.075,29.080275,0.26525,4.64,-2.5,21.005
Richmond_Eucalyptus_cladocalyx,14.034381038669212,14.057425288441346,14.089883257718474,3.3038069250150293,3.167711202344284,3.2685497730274777,0.32625,0.3106498881786957,0.3220591218715617,4.64,4.64,4.64,32.16800764375212,31.814218114261717,32.0137367065596,21.572295662072893,21.59325823253635,21.57771153217428,-2.217089540065792,-2.1764059584631603,-2.217089540065792,False,False,False,-1.2,500.25,21.6225,1.1,100.7,39.38198775,20,9.31666666666667,12.925,3.4025,31.94270625,0.32625,4.64,-2.6,23.29
Richmond_Eucalyptus_cladocalyx,14.110802803384715,13.986351149408133,14.021667064297883,3.723276065370052,3.165332478544013,3.2685497730274777,0.37325,0.3088205433698926,0.32045058724634873,4.64,4.64,4.64,32.94851341936188,31.768749509738182,31.980836606220933,21.912938952902824,21.99786020630681,21.981970766684746,-2.3798238664763183,-2.1764059584631603,-2.217089540065792,False,False,False,-1.2,499.5,22.025,1.105,100.7,39.340444500000004,20,9.4,12.65,3.8825,32.8293,0.37325,4.64,-2.5,23.485
Richmond_Eucalyptus_cladocalyx,15.05620156641062,19.219695615152837,18.098507064875,3.8961111994307234,7.163567643175048,5.692865523130068,0.16399999999999998,0.32855476619606777,0.2534408476134928,4.64,4.64,4.64,24.320674714839,29.461102854456477,27.43020549798573,28.250482943573502,27.689615316439525,27.935457641210128,-2.5456131402343454,-3.710864142389056,-3.1483291758316088,True,False,True,-1.3,1801.5,26.7225,2.1275,100.6,39.28547569,20,10.8666666666667,14.225,3.47,23.7607125,0.16399999999999998,4.64,-2.95,31.0
Richmond_Eucalyptus_cladocalyx,17.93344619515187,19.569013382071763,18.590921976850666,4.919201340845608,6.1768676113859025,5.125289073518523,0.264,0.3476641484188234,0.2771145514517128,4.64,4.64,4.64,27.87311449165237,29.658151940203012,27.928729211749292,27.61583885424148,27.396953812227913,27.57944114850061,-2.8670616925528862,-3.30905345199088,-2.9474238306325216,True,False,False,-1.3,1801.25,26.245,1.6975,100.6,39.12538219,20,10.983333333333302,16.45,4.355,27.6110625,0.264,4.64,-3.05,29.7725
Richmond_Eucalyptus_cladocalyx,16.99970807654412,18.76702492690556,17.998755469190684,5.1380583064085785,6.735778635416844,5.686842747196928,0.245,0.3331310582435215,0.2757100880066797,4.64,4.64,4.64,27.726484758614728,29.705728815722235,28.29031132294435,28.762927077550774,28.491316596209234,28.667804613270626,-3.066499372034148,-3.6616777191892007,-3.2648921544191656,True,False,False,-1.4,1799.75,27.4375,1.93,100.6,39.18111094,20,11.15,17.125,4.6325,26.2938375,0.245,4.64,-3.25,31.1225
Richmond_Eucalyptus_cladocalyx,15.700138707775825,18.45627472705044,17.172752068208986,4.741152758618768,7.020212934384522,5.468500915302581,0.199,0.31372983206923555,0.2364939827046041,4.64,4.64,4.64,26.183029869451218,29.271652393874877,27.103719128011925,29.026760972939318,28.63891924126457,28.89956429821517,-2.9474637026031374,-3.780713388620212,-3.1855350414651586,True,False,True,-1.4,1800.25,27.645,2.1675,100.6,39.13146169,20,11.233333333333302,16.975,4.265,23.68471875,0.199,4.64,-3.55,32.05
