site_spp,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),PPFD,VPD,Patm,Tref,Ps,Tair,CO2,doy,hod,E,gs,gb,Pleaf,Tleaf
E_crebra_HW2,3.9147222336786656,9.58749622470856,9.58749622470856,0.8667471863511333,2.436224509674385,2.436224509674385,0.017778645030611048,0.05890572011456365,0.05890572011456365,0.7876121604667556,0.4628884811480933,0.4628884811480933,10.091615841397582,15.344505478369776,15.344505478369776,32.58998842921081,31.94092184566884,31.94092184566884,-2.0719023984299274,-3.8194554276491424,-3.8194554276491424,0.7680833167795046,0.7680833167795046,True,True,True,1173.0,3.10358225,100.2925,29.225,-1.169,24.23,45.532795,306,12.07694444,3.00424525,0.09697925,2.92139875,-2.366,31.6075
E_crebra_HW2,5.619582964831903,8.151212386857287,8.151212386857287,1.382356543128171,3.249616746913907,3.249616746913907,0.050682056178583436,0.2243615079016472,0.2243615079016472,0.4616714889243658,0.4326264516477689,0.4326264516477689,26.0762535452405,37.07622624546095,37.07622624546095,41.164975360228844,39.13973872795268,39.13973872795268,-1.3922539015442803,-2.7442342336547974,-2.7442342336547974,1.3227830799685416,1.3227830799685416,False,False,False,310.0,2.55984725,101.8575,35.6225,-0.40299999999999997,39.92,45.530302500000005,311,12.264375,1.37454875,0.05358725,2.9213815,-2.116,32.815
E_crebra_HW2,2.0360100310640323,9.316049717844427,9.316049717844427,0.6745328231025819,3.792172087925127,3.792172087925127,0.009828331732491143,0.0907898769340546,0.0907898769340546,0.7443348724484462,0.4401141411148983,0.4401141411148983,18.056839870184973,30.767525125496892,30.767525125496892,44.77344940715814,40.73544688792299,40.73544688792299,-1.2598988189152929,-3.7990049560999255,-3.7990049560999255,1.0260604159519644,1.0260604159519644,True,False,False,1049.25,3.7484835,101.765,35.355,-0.727,36.55,51.594854999999995,312,12.22104167,2.031698,0.0548795,2.92187175,-2.299,36.215
E_crebra_HW2,14.720123124338324,15.43552306269384,15.43552306269384,2.2038998149463245,2.516020108029065,2.516020108029065,0.12002913136111493,0.15297521353075294,0.15297521353075294,0.5131541840694415,0.4612324434075213,0.4612324434075213,26.219248578411012,28.85009720455098,28.85009720455098,26.40074315579051,25.991004816414037,25.991004816414037,-2.7573291996824985,-3.1133671880376794,-3.1133671880376794,0.8961410745800971,0.8961410745800971,False,False,False,604.0,1.97385175,100.265,28.55,-0.524,24.8,49.33038,306,11.645,2.371673,0.12231600000000001,2.9206585,-2.613,27.4975
E_crebra_HW2,6.422070708483168,11.245579776083535,11.245579776083535,2.006195384148864,4.1090335041344614,4.1090335041344614,0.0492035337175374,0.1789561305600526,0.1789561305600526,0.6109186013152571,0.4346527850058627,0.4346527850058627,34.11049836619318,42.54703726618949,42.54703726618949,43.113747341808576,40.410349758808884,40.410349758808884,-1.6868803409571869,-3.277098388049927,-3.277098388049927,1.216798567847136,1.216798567847136,False,False,False,702.75,2.8702520000000002,101.93,35.7325,-0.23199999999999998,39.22,56.367290000000004,311,11.66458333,2.061449,0.073837,2.92162,-2.3480000000000003,34.285
E_crebra_HW2,8.311718372174049,12.572709227779939,12.572709227779939,2.0422913569574566,3.5086425341736285,3.5086425341736285,0.056019384014003235,0.1388281007701941,0.1388281007701941,0.5762194828615445,0.4413841902058902,0.4413841902058902,22.967211093366213,30.03707425197241,30.03707425197241,39.00337286066553,37.111078658697075,37.111078658697075,-2.1265703172459434,-3.352318726538715,-3.352318726538715,1.119473643110099,1.119473643110099,False,False,False,672.5,3.0529105,101.795,34.38,-0.546,36.09,48.556215,312,11.61069444,2.01221825,0.0671215,2.92148125,-2.301,33.275
E_crebra_HW2,15.764309852814765,15.688175470967956,15.688175470967956,2.6089589251610423,2.58103262369849,2.58103262369849,0.11553755224292092,0.1187940282881008,0.1187940282881008,0.5546629345076529,0.4609233119681598,0.4609233119681598,24.016510917482535,23.91945827948668,23.91945827948668,26.94639658041061,27.15079659527874,27.15079659527874,-3.2786646931682064,-3.2466091611066803,-3.2466091611066803,0.8812888608687862,0.8812888608687862,False,False,False,722.0,2.31937375,100.275,29.405,-0.586,24.94,49.435575,306,11.79131944,2.1505330000000002,0.0932835,2.92134725,-2.14,29.2675
E_crebra_HW2,0.45003695142411454,6.505380182042892,6.505380182042892,0.14938095266346016,3.9435988223357175,3.9435988223357175,0.0018921797132057934,0.0983020895579158,0.0983020895579158,0.7542928462494799,0.4325479719377889,0.4325479719377889,15.759845681914882,39.9211726697295,39.9211726697295,49.33418967097127,44.045712020522274,44.045712020522274,-0.9303676012097044,-3.7937632387105418,-3.7937632387105418,1.1125590733239534,1.1125590733239534,True,False,False,986.0,3.540786,101.9175,36.2375,-0.838,40.09,53.914357499999994,311,11.80805556,1.485965,0.04233825,2.92219425,-1.476,36.47
E_crebra_HW2,0.388153700882481,4.407402410738724,4.407402410738724,0.18943437221803106,4.043271693072312,4.043271693072312,0.0021098849994490914,0.0766980437443054,0.0766980437443054,0.8201247741274725,0.44024477267761225,0.44024477267761225,16.017177153034677,31.864545568719286,31.864545568719286,48.62932451345075,44.20863227088213,44.20863227088213,-0.8135439919659229,-3.9527150328911937,-3.9527150328911937,0.9834070132734914,0.9834070132734914,True,False,False,1383.5,3.7787879999999996,101.8025,34.6325,-0.655,36.58,45.505717499999996,312,11.74777778,2.218121,0.058490999999999994,2.92178675,-2.4,35.655
E_crebra_HW2,8.29916464908349,12.057278873175864,12.057278873175864,1.606522522331709,2.7088372117417254,2.7088372117417254,0.042671681218148766,0.0870197828602702,0.0870197828602702,0.7570080084444261,0.4612781171253289,0.4612781171253289,16.715142651152384,21.842769165915538,21.842769165915538,32.04385299887053,31.721692714419408,31.721692714419408,-2.4969733500146614,-3.7517074509693993,-3.7517074509693993,0.7924888320388822,0.7924888320388822,True,False,False,1111.75,2.34838125,100.2775,25.8475,-0.875,24.81,48.835142499999996,306,11.32652778,0.7290705,0.031170499999999997,2.92066525,-1.9,28.2125
