doy,hod,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),gmin(std),gmin(therm),gmin(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(std),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),Ps(std),Ps(therm),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[MPa],[MPa],[MPa]
306,12.07694444,3.914722233678666,9.587496224708559,9.587496224708559,0.8667471863511333,2.436224509674385,2.436224509674385,0.017778645030611048,0.05890572011456365,0.05890572011456365,0.7876121604667556,0.4628884811480933,0.4628884811480933,,,,10.091615841397582,15.344505478369774,15.344505478369774,32.589988429210806,31.94092184566884,31.94092184566884,-2.0719023984299274,-3.819455427649142,-3.819455427649142,,0.7680833167795046,0.7680833167795046,True,True,True,-1.169,-1.169,-1.169
311,12.264375,5.619582964831904,8.151212386857287,8.151212386857287,1.382356543128171,3.249616746913907,3.249616746913907,0.05068205617858344,0.22436150790164722,0.22436150790164722,0.4616714889243658,0.4326264516477689,0.4326264516477689,,,,26.076253545240505,37.07622624546095,37.07622624546095,41.16497536022884,39.13973872795269,39.13973872795269,-1.3922539015442805,-2.7442342336547974,-2.7442342336547974,,1.3227830799685416,1.3227830799685416,False,False,False,-0.40299999999999997,-0.40299999999999997,-0.40299999999999997
312,12.22104167,2.0360100310640323,9.316049717844427,9.316049717844427,0.6745328231025819,3.792172087925127,3.792172087925127,0.009828331732491145,0.09078987693405459,0.09078987693405459,0.7443348724484462,0.44011414111489827,0.44011414111489827,,,,18.056839870184973,30.767525125496896,30.767525125496896,44.77344940715813,40.73544688792299,40.73544688792299,-1.259898818915293,-3.7990049560999255,-3.7990049560999255,,1.0260604159519644,1.0260604159519644,True,False,False,-0.727,-0.727,-0.727
306,11.645,14.720123124338324,15.435523062693841,15.435523062693841,2.2038998149463245,2.516020108029065,2.516020108029065,0.12002913136111493,0.15297521353075294,0.15297521353075294,0.5131541840694415,0.46123244340752134,0.46123244340752134,,,,26.219248578411015,28.85009720455098,28.85009720455098,26.400743155790508,25.99100481641404,25.99100481641404,-2.7573291996824985,-3.1133671880376794,-3.1133671880376794,,0.896141074580097,0.896141074580097,False,False,False,-0.524,-0.524,-0.524
311,11.66458333,6.422070708483168,11.245579776083531,11.245579776083531,2.0061953841488642,4.109033504134461,4.109033504134461,0.0492035337175374,0.1789561305600526,0.1789561305600526,0.610918601315257,0.43465278500586274,0.43465278500586274,,,,34.11049836619318,42.54703726618949,42.54703726618949,43.11374734180858,40.41034975880888,40.41034975880888,-1.686880340957187,-3.277098388049927,-3.277098388049927,,1.216798567847136,1.216798567847136,False,False,False,-0.23199999999999998,-0.23199999999999998,-0.23199999999999998
312,11.61069444,8.31171837217405,12.572709227779939,12.572709227779939,2.042291356957457,3.508642534173629,3.508642534173629,0.056019384014003235,0.1388281007701941,0.1388281007701941,0.5762194828615445,0.4413841902058902,0.4413841902058902,,,,22.967211093366217,30.037074251972413,30.037074251972413,39.003372860665536,37.11107865869708,37.11107865869708,-2.126570317245943,-3.352318726538715,-3.352318726538715,,1.1194736431100987,1.1194736431100987,False,False,False,-0.546,-0.546,-0.546
306,11.79131944,15.764309852814764,15.688175470967957,15.688175470967957,2.6089589251610423,2.58103262369849,2.58103262369849,0.11553755224292091,0.11879402828810079,0.11879402828810079,0.554662934507653,0.46092331196815983,0.46092331196815983,,,,24.016510917482538,23.919458279486676,23.919458279486676,26.946396580410607,27.15079659527874,27.15079659527874,-3.2786646931682064,-3.2466091611066803,-3.2466091611066803,,0.8812888608687862,0.8812888608687862,False,False,False,-0.586,-0.586,-0.586
311,11.80805556,0.45003695142411454,6.505380182042891,6.505380182042891,0.14938095266346016,3.9435988223357175,3.9435988223357175,0.0018921797132057938,0.0983020895579158,0.0983020895579158,0.7542928462494799,0.43254797193778893,0.43254797193778893,,,,15.759845681914882,39.9211726697295,39.9211726697295,49.33418967097127,44.04571202052227,44.04571202052227,-0.9303676012097044,-3.7937632387105418,-3.7937632387105418,,1.1125590733239534,1.1125590733239534,True,False,False,-0.838,-0.838,-0.838
312,11.74777778,0.388153700882481,4.407402410738724,4.407402410738724,0.18943437221803103,4.043271693072312,4.043271693072312,0.0021098849994490914,0.0766980437443054,0.0766980437443054,0.8201247741274725,0.44024477267761225,0.44024477267761225,,,,16.017177153034677,31.864545568719286,31.864545568719286,48.629324513450754,44.20863227088213,44.20863227088213,-0.8135439919659229,-3.952715032891194,-3.952715032891194,,0.9834070132734914,0.9834070132734914,True,False,False,-0.655,-0.655,-0.655
