E_crebra_HW2,E_fibrosa_HW2,E_moluccana_HW2,E_sideroxylon_HW2,E_tereticornis_HW2,mean,model,variable
0.8704478639883179,1.3873644742055316,1.9002806253308715,0.6303696054687256,1.5722860031620554,1.2721497144311005,std,gs
1.8791720501280162,7.287677182667927,5.5777572434552205,1.7585519877721851,1.3550993525429,3.5716515633132504,therm,gs
1.8697475519024132,7.287677182667927,5.451474171460086,1.7585519877721851,1.3550993525429,3.5445100492691024,pmax,gs
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,std,Pleaf
2.65985766520184,2.083194729332667,3.080365056716078,1.9809428925234485,3.3262375122577383,2.626119571206354,therm,Pleaf
2.598476752566236,2.083194729332667,3.0593621112826503,1.9809428925234485,3.3262375122577383,2.609642799592548,pmax,Pleaf
1.2718916382499406,1.5574637691401196,1.6032015939445796,0.9334652046855266,1.0906107564160388,1.291326592487241,std,E
2.0235588239580724,7.520639887260929,5.043309855633136,1.91524099660831,0.8733449234656203,3.4752188973852136,therm,E
2.0022731969691616,7.520639887260929,5.0182506436263274,1.91524099660831,0.8733449234656203,3.4659499295860696,pmax,E
,,,,,,,
,,,,,,,
,,,,,,,
