drought_only,HW_and_drought_varD_RH60,HW_only_varD_RH60,mean,model,variable
2.701004010341422e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.5700658331567914e-18,Const0.01,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.5700658331567914e-18,Const0.1,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.5700658331567914e-18,Const0.2,gs
2.701004010341422e-16,-1.3740529926680628e-16,-1.3740529926680628e-16,-1.5700658331567914e-18,Const0.3,gs
-2.701004010341422e-16,1.3740529926680628e-16,1.3740529926680628e-16,1.5700658331567914e-18,Const0.4,gs
,,,,Const0.5,gs
0.22612813378951205,-0.7272922160129027,-0.7272922160129027,-0.40948543274543114,Const0.01,Ci
0.22612813378951216,-0.7151247821890305,-0.7151247821890305,-0.401373810196183,Const0.1,Ci
0.2261281337895122,-0.7167284780259069,-0.7167284780259069,-0.40244294075410053,Const0.2,Ci
0.2261281337895122,-0.7159911170649403,-0.7159911170649403,-0.40195136678012283,Const0.3,Ci
0.22612813378951216,-0.7147238215166136,-0.7147238215166136,-0.4011065030812384,Const0.4,Ci
0.22612813378951213,-0.7134550607469081,-0.7134550607469081,-0.4002606625681014,Const0.5,Ci
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.23161359463170433,-0.569283423970755,-0.569283423970755,-0.3023177511032686,Const0.01,E
0.23161359463170433,-0.5712982601999993,-0.5712982601999993,-0.3036609752560981,Const0.1,E
0.23161359463170433,-0.5732295048631596,-0.5732295048631596,-0.30494847169820494,Const0.2,E
0.23161359463170422,-0.5764003118566762,-0.5764003118566762,-0.3070623430272161,Const0.3,E
0.23161359463170436,-0.5741752471709373,-0.5741752471709373,-0.30557896657005673,Const0.4,E
0.23161359463170433,-0.5703806075244012,-0.5703806075244012,-0.30304920680569936,Const0.5,E
-0.08137232276351226,0.11187998067113666,0.11187998067113666,0.04746254619292036,Const0.01,A
-0.08137232276351229,0.19372916985989544,0.19372916985989544,0.10202867231875952,Const0.1,A
-0.08137232276351226,0.20518461349883974,0.20518461349883974,0.1096656347447224,Const0.2,A
-0.08137232276351226,0.20050122462581318,0.20050122462581318,0.10654337549603804,Const0.3,A
-0.08137232276351224,0.19232630919598584,0.19232630919598584,0.10109343187615315,Const0.4,A
-0.08137232276351226,0.18404210110458055,0.18404210110458055,0.09557062648188296,Const0.5,A
