E_crebra_VarEnv,E_moluccana_VarEnv,E_tereticornis_VarEnv,mean,model,variable
0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,std,gs
0.33333333333333326,0.33333333333333326,0.0,0.22222222222222218,therm,gs
0.0,0.0,0.33333333333333326,0.11111111111111109,pmax,gs
,,,,,
,,,,,
,,,,,
,,,,std,Pleaf
0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,therm,Pleaf
0.0,0.0,0.0,0.0,pmax,Pleaf
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
