site_spp,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),VPD,Ps,Tair,hod,gs,gb,Pleaf
E_crebra_VarEnv,16.000314868379334,16.003706159117947,16.003706159117947,4.2277977385329155,4.1951113632883335,4.1951113632883335,0.2383522877414723,0.21570868045085986,0.21570868045085986,0.3908805593145129,0.4571233003324946,0.4571233003324946,33.333737753365156,33.426124422775914,33.426124422775914,27.444559179996308,27.505722265720486,27.505722265720486,-2.8700209657285707,-2.835020710048954,-2.835020710048954,1.3970843440759682,1.3970843440759682,False,False,False,3,0.0,28,12,0.1,0,-2
E_crebra_VarEnv,14.53847250518989,15.270209364696331,15.270209364696331,3.854512596949978,4.340973819834552,4.340973819834552,0.21657943309134847,0.22754471023422285,0.22754471023422285,0.3098352502011125,0.4520324799500064,0.4520324799500064,33.19926746903998,34.73823720759473,34.73823720759473,30.120898807818346,29.577000931167387,29.577000931167387,-2.5900189202916373,-2.9400214770878037,-2.9400214770878037,1.3809499688717095,1.3809499688717095,False,False,False,3,0.0,30,12,0.1,0,-2
E_crebra_VarEnv,9.634191567809024,14.265263788783713,14.265263788783713,4.806779373494504,4.5326519438253685,4.5326519438253685,0.1645072262410926,0.24408528954851716,0.24408528954851716,0.5761903986971588,0.4470322223795812,0.4470322223795812,28.648469020513453,36.343233787923346,36.343233787923346,31.350857319093265,31.62841191615562,31.62841191615562,-3.2900240338839715,-3.080022499806271,-3.080022499806271,1.3567675959316117,1.3567675959316117,False,False,False,3,0.0,32,12,0.1,0,-2
E_crebra_VarEnv,11.021042954071559,12.667640017457474,12.667640017457474,3.5489401360481114,4.580025276520568,4.580025276520568,0.14729649736254927,0.2426355300986433,0.2426355300986433,0.42917366797720397,0.4421203256974248,0.4421203256974248,34.811106789529966,37.77323132766345,37.77323132766345,34.982686474623584,33.8410474660923,33.8410474660923,-2.3800173862139373,-3.1150227554858883,-3.1150227554858883,1.3502265282485308,1.3502265282485308,False,False,False,3,0.0,34,12,0.1,0,-2
E_crebra_VarEnv,6.961098156410877,10.565022323324506,10.565022323324506,2.5359932420155054,4.580025276520568,4.580025276520568,0.0756960338567004,0.23367691169031785,0.23367691169031785,0.547808364756539,0.4372946556296847,0.4372946556296847,34.56416401889547,39.49405596634089,39.49405596634089,38.528989023205156,36.11511859291021,36.11511859291021,-1.6800122726216025,-3.1150227554858883,-3.1150227554858883,1.3502265282485308,1.3502265282485308,False,False,False,3,0.0,36,12,0.1,0,-2
E_crebra_VarEnv,3.3253554691963547,8.336058442719201,8.336058442719201,1.6092737836377828,4.720721625042135,4.720721625042135,0.03698378118033503,0.2390068120792569,0.2390068120792569,0.6189519281221066,0.4325531430475559,0.4325531430475559,35.03814881418238,41.79065609418904,41.79065609418904,42.18312257058861,38.27380903353488,38.27380903353488,-1.0850079260681182,-3.2200235225247384,-3.2200235225247384,1.3293742018326726,1.3293742018326726,True,False,False,3,0.0,38,12,0.1,0,-2
E_crebra_VarEnv,1.1764732107399538,6.162338567213202,6.162338567213202,0.6849263735494798,4.950031666035041,4.950031666035041,0.012305652900194948,0.2530475424803561,0.2530475424803561,0.6704562701681162,0.4278937815706803,0.4278937815706803,34.565541388300225,44.11842468417509,44.11842468417509,46.04103814485652,40.37264549098444,40.37264549098444,-0.4550033238350174,-3.3950248009228217,-3.3950248009228217,1.2903998071606193,1.2903998071606193,True,False,False,3,0.0,40,12,0.1,0,-2
E_crebra_VarEnv,0.6374545297849319,4.184229523493842,4.184229523493842,0.5132654494925708,5.128273771066908,5.128273771066908,0.00825439088296101,0.2586717316977566,0.2586717316977566,0.680757908554917,0.4233146252735007,0.4233146252735007,37.754257350504616,46.02365442657128,46.02365442657128,48.78048982352931,42.539504615646884,42.539504615646884,-0.3500025567961672,-3.5350258236412886,-3.5350258236412886,1.2553116090453362,1.2553116090453362,True,False,False,3,0.0,42,12,0.1,0,-2
E_crebra_VarEnv,0.1304586565482927,2.602925396849665,2.602925396849665,0.09115910136549683,5.215491052736464,5.215491052736464,0.0012281991040949851,0.2502689292962582,0.2502689292962582,0.7041858121304576,0.4188137864895168,0.4188137864895168,33.127768251834624,47.42451249316517,47.42451249316517,51.988458779662245,44.807003033414745,44.807003033414745,-0.07000051135923344,-3.605026335000522,-3.605026335000522,1.2364451854479317,1.2364451854479317,True,False,False,3,0.0,44,12,0.1,0,-2
E_crebra_VarEnv,0.02402844262621984,1.473397394488979,1.473397394488979,0.018541797350295226,5.1720474941724,5.1720474941724,0.00022322792184702246,0.225083930259413,0.225083930259413,0.7105192620744533,0.4143894337086749,0.4143894337086749,32.90947254858305,48.38983952379049,48.38983952379049,54.67911823775693,47.22069942918092,47.22069942918092,0.0,-3.5700260793209053,-3.5700260793209053,1.2459889005600162,1.2459889005600162,True,True,True,3,0.0,46,12,0.1,0,-2
E_crebra_VarEnv,0.010434300654976872,0.9183485470138748,0.7814109565270655,0.012591149254903185,5.746724971689807,5.128273771066908,0.00013511363112530368,0.2702444849009671,0.20092065810359602,0.7162754096382806,0.4100397895633818,0.4100397895633818,37.754378325119106,49.0800816686991,49.01858659583245,57.303602228638745,49.092189371026684,49.67660204732104,0.0,-4.060029658835538,-3.5350258236412886,1.092610532120363,1.2553116090453362,True,True,True,3,0.0,48,12,0.1,0,-2
E_crebra_VarEnv,-0.001405166472960663,0.5811061908307864,0.4379356553677083,1e-17,6.626478135771884,5.468786549584562,1e-17,0.37164511909398784,0.2137124066881096,0.7216920181203597,0.405763128898876,0.405763128898876,41.7912670934269,49.4983040678522,49.43839475506885,60.007308427483046,50.79570586557195,51.77141361066702,0.0,-5.0400368178648085,-3.8150278690782224,0.6880218402918191,1.1745594345050976,True,True,True,3,0.0,50,12,0.1,0,-2
E_crebra_VarEnv,-0.003268517784762788,0.2717735685160244,0.26108985023855663,1e-17,6.358636509880192,6.204777378860847,1e-17,0.2900148644877363,0.2699099355834331,0.7271662365993664,0.4015577769239256,0.4015577769239256,49.35335886739774,49.70068858979729,49.7036064444656,62.753322182164716,53.39930099939697,53.529651079189186,0.0,-4.690034261068639,-4.515032982670557,0.8418276046269432,0.9161079085675876,True,True,True,3,0.0,52,12,0.1,0,-2
E_crebra_VarEnv,-0.017184542065332698,0.0998161374827166,0.0998161374827166,1e-17,5.746724971689807,5.746724971689807,1e-17,0.194928863869684,0.194928863869684,0.7329372517082882,0.3974221074380318,0.3974221074380318,37.754168464518465,49.858123714799355,49.858123714799355,65.56802167118408,56.460603343197924,56.460603343197924,0.0,-4.060029658835538,-4.060029658835538,1.092610532120363,1.092610532120363,True,True,True,3,0.0,54,12,0.1,0,-2
E_crebra_VarEnv,-0.013938129156212205,0.022261755108435373,0.022261755108435373,1e-17,5.039766749166688,5.039766749166688,1e-17,0.12638583808771242,0.12638583808771242,0.7389628339011423,0.3933545411315248,0.3933545411315248,37.75414835994072,49.88607412238807,49.88607412238807,68.45528620001983,59.966217511865715,59.966217511865715,0.0,-3.465025312282055,-3.465025312282055,1.2732950621039718,1.2732950621039718,True,True,True,3,0.0,56,12,0.1,0,-2
E_crebra_VarEnv,5.9894502236307,14.690498414655133,14.690498414655133,1.0349383044171023,3.4153881903619467,3.4153881903619467,0.02800231298326207,0.14738758719551226,0.14738758719551226,0.6344472266304542,0.4571233003324946,0.4571233003324946,14.803087239986223,29.76231856632449,29.76231856632449,31.75216022792224,28.431460080442143,28.431460080442143,-1.6894279911839485,-3.3680352740666053,-3.3680352740666053,1.296761532331019,1.296761532331019,False,False,False,3,-1.0,28,12,0.1,0,-2
