E_crebra_VarEnv,E_moluccana_VarEnv,E_tereticornis_VarEnv,mean,model,variable
0.0,0.0,-1.412007410083624e-16,-4.7066913669454135e-17,std,gs
-4.1621770082575495e-17,0.0,9.781014954167452e-17,1.8729459819699674e-17,therm,gs
-9.001840472563623e-17,-5.786300064730419e-17,-6.750683391906137e-17,-7.17960797640006e-17,pmax,gs
,,,,,
,,,,,
,,,,,
,,,,std,Pleaf
,,,,therm,Pleaf
,,,,pmax,Pleaf
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
