site_spp,A(const),E(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,1.5852693173992232,0.2928927636902188,4.64,14.167084833176501,30.99981562674838,-1.2813671632052632,True,-1.2,1799.75,28.81,2.42,100.6,39.25355831,20,11.3833333333333,14.65,5.0425,26.26850625,0.21075,4.64,-4.05,33.1175
Richmond_Eucalyptus_cladocalyx,1.5912697613707156,0.2793018911956025,4.64,13.933072850666475,30.54586680615109,-1.2813671632052632,True,-1.2,1799.75,28.345,2.2925,100.6,39.11448975,20,11.466666666666699,15.575,5.5175,27.1044375,0.24525,4.64,-4.1,32.515
Richmond_Eucalyptus_cladocalyx,1.5454994819778152,0.3836176300274236,4.64,15.198370125247619,33.039703873769945,-1.4205432071194528,True,-1.3,1999.5,30.6525,3.22,100.4,39.60718256,20,13.45,5.465,3.02,27.99103125,0.091775,4.64,-2.95,35.9725
Richmond_Eucalyptus_cladocalyx,1.5317955430107335,0.3453584462145889,4.64,15.225254058225172,33.147908117857874,-1.4205432071194528,True,-1.3,2000.75,30.705,2.8175,100.4,39.41770481,20,13.55,11.6,4.65,26.14185,0.16425,4.64,-3.05,35.0875
Richmond_Eucalyptus_cladocalyx,1.532229099956273,0.3700913349759584,4.64,15.436759128901725,33.49623380568628,-1.5190356694310103,True,-1.4,1999.0,31.0825,3.0625,100.4,39.63606019,20,13.683333333333302,8.03,3.4475,25.96453125,0.1105,4.64,-3.25,35.9325
Richmond_Eucalyptus_cladocalyx,1.4997907835496214,0.3383207819644386,4.64,15.602420886127524,33.9126273883478,-1.5190356694310103,True,-1.4,2000.75,31.445,2.715,100.4,39.28952869,20,13.75,13.45,5.165,26.01519375,0.19025,4.64,-3.55,35.4725
Richmond_Eucalyptus_cladocalyx,1.5220324097489581,0.3529566914586865,4.64,15.583295563952793,33.78047187950086,-1.3220507448078949,True,-1.2,2001.0,31.335,2.8725,100.4,39.62162138,20,13.933333333333302,8.2675,3.675,27.12976875,0.126,4.64,-4.05,36.33
Richmond_Eucalyptus_cladocalyx,1.5086951482350073,0.33385993497537925,4.64,15.647467356676765,33.943593771147704,-1.2813671632052632,True,-1.2,2000.25,31.47,2.6675,100.4,39.47520675,20,14.0,10.25,5.135,29.0296125,0.192,4.64,-4.1,35.8075
Richmond_Eucalyptus_cladocalyx,1.4422241553884196,0.4461206606392776,4.64,16.89555816421674,36.03287412267699,-1.4205432071194528,True,-1.3,1999.75,33.665,3.745,100.2,39.62846081,20,15.85,7.3325,5.5925,29.20693125,0.14725,4.64,-3.45,37.19
Richmond_Eucalyptus_cladocalyx,1.4272337838301603,0.4464257324817304,4.64,16.944084957654333,36.15681380618757,-1.4205432071194528,True,-1.3,2000.75,33.785,3.7425,100.2,39.44075625,20,15.933333333333302,10.3,7.2825,28.4216625,0.1945,4.64,-3.4,37.005
Richmond_Eucalyptus_cladocalyx,1.424462915930227,0.5132278731618471,4.64,17.03897768760765,36.285773581133775,-1.5587142259080142,True,-1.4,1999.75,34.0025,4.435,100.2,39.49192538,20,16.1166666666667,8.6425,5.78,25.86320625,0.128,4.64,-3.5,38.375
Richmond_Eucalyptus_cladocalyx,1.4268929084834419,0.5698299773392406,4.64,17.219295511369733,36.492570148623095,-1.5587142259080142,True,-1.4,2000.25,34.28,5.0175,100.2,39.71053406,20,16.216666666666697,4.4,4.085,27.68705625,0.07905,4.64,-3.15,39.6175
Richmond_Eucalyptus_cladocalyx,1.4080040715233866,0.5534743148313922,4.64,17.35377740520876,36.7257578241216,-1.3627343264105267,True,-1.2,1998.75,34.4875,4.8375,100.2,39.54740081,20,16.85,7.0575,7.5075,29.10560625,0.1535,4.64,-3.5,38.875
Richmond_Eucalyptus_cladocalyx,1.405305368721982,0.5217936607050622,4.64,17.3856304185273,36.72924190571288,-1.4607242761592705,True,-1.3,1499.0,35.155,4.725,100.2,39.53600175,20,18.6666666666667,5.7825,7.2175,30.47349375,0.152,4.64,-2.6,36.755
Richmond_Eucalyptus_cladocalyx,1.4273241140662305,0.5467112582667015,4.64,17.337570887280613,36.58341460971359,-1.4607242761592705,True,-1.3,1500.0,35.045,4.99,100.2,39.8349105,20,18.733333333333302,3.05,5.2925,32.04403125,0.1045,4.64,-3.3,37.12
Richmond_Eucalyptus_cladocalyx,1.4214257149114051,0.5596725111743328,4.64,17.291211999091555,36.55088626527407,-1.5587142259080142,True,-1.4,1499.0,35.0325,5.13,100.25,39.70673437,20,18.85,4.3575,4.9675,29.2322625,0.095225,4.64,-2.65,37.34
