E_crebra_HW2,E_fibrosa_HW2,E_moluccana_HW2,E_sideroxylon_HW2,E_tereticornis_HW2,mean,model,variable
1.049656885157898e-16,0.0,0.0,0.0,0.0,2.099313770315796e-17,driv,Tleaf
1.049656885157898e-16,0.0,0.0,0.0,0.0,2.099313770315796e-17,std,Tleaf
1.049656885157898e-16,0.0,0.0,0.0,0.0,2.099313770315796e-17,std_gmin,Tleaf
1.049656885157898e-16,0.0,0.0,0.0,0.0,2.099313770315796e-17,pmax,Tleaf
1.049656885157898e-16,0.0,0.0,0.0,0.0,2.099313770315796e-17,pmax_gmin,Tleaf
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5.2014656550196285,2.9963903906376776,1.1698753517781069,5.452696724727754,6.006942628851188,4.165474150202871,driv,Pleaf
,,,,,,std,Pleaf
,,,,,,std_gmin,Pleaf
0.7984675059550346,0.9812004707965705,1.5279004620197074,0.7510433769672756,0.9814150589598523,1.008005374939688,pmax,Pleaf
0.7984675059550346,0.9812004707965705,1.5279004620197074,0.7510433769672756,0.9814150589598523,1.008005374939688,pmax_gmin,Pleaf
0.06629797878696844,0.06690795234351032,0.035027847561457263,0.057904384307113366,0.06209168041116154,0.05764596868204219,driv,E
1.4117963129794666,1.9181693849341974,1.2971697879716373,1.2572181956737212,1.0974210605975412,1.396354948431313,std,E
4.172063231738523,4.900771889074886,18.052462131920244,3.5886578508058644,2.077922769257871,6.558375574559477,std_gmin,E
15.795949636673111,25.454568114751034,18.725207441071795,19.227381530341145,6.437814265563541,17.128184197680124,pmax,E
15.795949636673111,25.454568114751034,18.725207441071795,19.227381530341145,6.437814265563541,17.128184197680124,pmax_gmin,E
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
